unit,fair,generous,honest,powerful,friendly,culture,resolved,organized,intelligent,ranking,treat,condition
864,5,NA,1,NA,4,NA,NA,3,2,5-1-4--32,2,Countries
865,NA,2,NA,NA,NA,1,NA,3,NA,-2---1-3-,2,Countries
866,3,NA,1,NA,NA,NA,NA,2,NA,3-1----2-,1,Individuals
867,NA,1,2,NA,3,NA,NA,NA,NA,-12-3----,1,Individuals
868,NA,NA,2,NA,NA,NA,1,3,NA,--2---13-,2,Countries
869,1,NA,2,NA,NA,NA,4,3,NA,1-2---43-,2,Countries
870,1,4,3,9,8,5,2,6,7,143985267,1,Individuals
871,3,2,NA,5,NA,NA,NA,4,1,32-5---41,1,Individuals
872,1,2,NA,3,4,NA,NA,NA,NA,12-34----,2,Countries
873,NA,2,5,NA,3,1,NA,4,6,-25-31-46,2,Countries
874,2,NA,NA,NA,1,NA,NA,NA,NA,2---1----,2,Countries
875,4,NA,NA,2,3,NA,NA,NA,1,4--23---1,1,Individuals
876,5,NA,2,NA,4,NA,NA,3,1,5-2-4--31,1,Individuals
877,NA,NA,NA,NA,NA,NA,2,1,NA,------21-,2,Countries
878,NA,NA,1,NA,NA,NA,4,3,2,--1---432,2,Countries
879,2,NA,3,NA,4,NA,NA,1,NA,2-3-4--1-,2,Countries
880,1,NA,3,NA,2,NA,NA,NA,NA,1-3-2----,2,Countries
881,NA,NA,NA,1,NA,NA,2,NA,NA,---1--2--,2,Countries
882,8,7,5,3,4,1,2,6,9,875341269,2,Countries
883,1,NA,2,NA,NA,NA,NA,NA,3,1-2-----3,2,Countries
884,NA,1,NA,NA,NA,2,NA,NA,NA,-1---2---,2,Countries
885,3,4,1,NA,NA,NA,NA,2,NA,341----2-,1,Individuals
886,6,2,4,NA,5,NA,1,3,7,624-5-137,1,Individuals
887,NA,NA,NA,NA,2,3,NA,1,NA,----23-1-,2,Countries
888,2,NA,1,NA,3,NA,NA,NA,NA,2-1-3----,1,Individuals
889,NA,NA,1,2,NA,NA,NA,NA,NA,--12-----,2,Countries
890,1,NA,2,NA,4,NA,3,NA,NA,1-2-4-3--,1,Individuals
891,NA,NA,NA,NA,2,NA,NA,1,NA,----2--1-,2,Countries
892,NA,NA,NA,NA,1,NA,NA,NA,2,----1---2,1,Individuals
893,NA,NA,NA,2,NA,4,3,NA,1,---2-43-1,2,Countries
894,NA,NA,2,NA,NA,NA,3,1,NA,--2---31-,2,Countries
895,4,NA,2,NA,NA,NA,3,1,NA,4-2---31-,1,Individuals
896,NA,NA,1,NA,NA,NA,2,NA,NA,--1---2--,1,Individuals
897,NA,NA,2,NA,1,NA,NA,NA,NA,--2-1----,2,Countries
898,2,5,NA,NA,1,4,NA,NA,3,25--14--3,1,Individuals
899,2,6,3,NA,5,NA,NA,4,1,263-5--41,1,Individuals
900,4,NA,1,NA,3,NA,NA,2,NA,4-1-3--2-,1,Individuals
901,NA,NA,NA,2,NA,NA,1,NA,NA,---2--1--,2,Countries
902,NA,NA,1,NA,2,NA,NA,NA,NA,--1-2----,1,Individuals
903,6,1,4,NA,5,3,NA,2,NA,614-53-2-,2,Countries
904,3,7,5,2,1,NA,6,NA,4,37521-6-4,1,Individuals
905,2,NA,1,NA,NA,NA,3,NA,NA,2-1---3--,2,Countries
906,2,NA,1,4,NA,NA,3,NA,NA,2-14--3--,2,Countries
907,5,3,6,2,1,NA,NA,4,NA,53621--4-,2,Countries
908,1,NA,2,4,3,NA,NA,NA,5,1-243---5,1,Individuals
909,1,NA,2,NA,NA,NA,4,3,NA,1-2---43-,1,Individuals
910,NA,2,1,NA,NA,NA,NA,NA,NA,-21------,1,Individuals
911,1,NA,2,NA,NA,NA,NA,NA,3,1-2-----3,1,Individuals
912,5,1,3,NA,2,NA,NA,4,NA,513-2--4-,2,Countries
913,1,NA,2,3,NA,NA,NA,NA,NA,1-23-----,1,Individuals
914,NA,NA,2,NA,NA,NA,NA,NA,1,--2-----1,1,Individuals
915,4,3,1,NA,2,NA,NA,NA,NA,431-2----,1,Individuals
916,NA,NA,3,2,NA,NA,4,NA,1,--32--4-1,1,Individuals
917,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,2,Countries
918,NA,NA,2,1,NA,NA,NA,NA,NA,--21-----,2,Countries
919,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,2,Countries
920,3,NA,2,NA,NA,1,NA,NA,4,3-2--1--4,2,Countries
921,2,NA,1,NA,NA,NA,NA,3,NA,2-1----3-,1,Individuals
922,3,8,1,4,2,9,7,5,6,381429756,1,Individuals
923,NA,NA,NA,NA,NA,NA,NA,2,1,-------21,1,Individuals
924,NA,NA,1,NA,3,2,NA,NA,NA,--1-32---,2,Countries
925,NA,4,3,NA,1,NA,NA,2,NA,-43-1--2-,1,Individuals
926,1,NA,4,5,3,NA,NA,2,NA,1-453--2-,2,Countries
927,NA,NA,NA,2,NA,NA,3,NA,1,---2--3-1,1,Individuals
928,2,NA,1,NA,NA,5,NA,4,3,2-1--5-43,1,Individuals
929,2,NA,1,NA,3,NA,NA,NA,NA,2-1-3----,2,Countries
930,2,NA,5,NA,4,NA,3,NA,1,2-5-4-3-1,1,Individuals
931,1,NA,3,NA,NA,NA,NA,4,2,1-3----42,1,Individuals
932,NA,NA,2,4,5,NA,3,NA,1,--245-3-1,2,Countries
933,2,NA,NA,NA,NA,3,NA,NA,1,2----3--1,1,Individuals
