unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1014,3,2,1,4,3214,1,non-group-related control,Democrat,intolerant,Male,Born 1975-1990,Black,High school graduate,At least once a week but not every day,3,5,Leaning Democrat
1015,4,2,1,3,4213,4,threatening,Democrat,intolerant,Male,Born 1975-1990,White,College,Every day,73,100,Democrat
1016,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1991 or later,Hispanic,College,Every day,82,74,Strong Democrat
1017,4,3,1,2,4312,5,threatening (new),Republican,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day,20,20,Republican
1018,4,2,1,3,4213,2,uncivil,Republican,intolerant,Female,Born 1991 or later,White,College,Every day,20,70,Leaning Republican
1019,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Female,Born 1975-1990,Black,College,Every day,0,0,Strong Democrat
1020,4,3,1,2,4312,4,threatening,Democrat,intolerant,Female,Born 1975-1990,Black,Professional degree,Every day,75,100,Leaning Democrat
1021,4,2,3,1,4231,5,threatening (new),Independent,threatening,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,84,100,Independent
1022,3,4,1,2,3412,2,uncivil,Democrat,intolerant,Female,Born 1991 or later,Black,High school graduate,At least once a week but not every day,60,7,Democrat
1023,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,70,100,Democrat
1024,4,1,2,3,4123,3,intolerant,Independent,uncivil,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,21,100,Independent
1025,4,2,1,3,4213,0,control,Democrat,intolerant,Male,Born 1975-1990,White,High school graduate,Every day,61,89,Democrat
1026,4,2,3,1,4231,4,threatening,Independent,threatening,Female,Born 1991 or later,White,College,Every day,94,96,Independent
1027,1,3,2,4,1324,1,non-group-related control,Republican,civil,Male,Born 1959-1974,White,College,Every day,1,1,Republican
