unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1,1,3,2,4,1324,1,non-group-related control,Republican,civil,Female,Born 1991 or later,White,College,Every day,0,0,Leaning Republican
2,4,2,1,3,4213,0,control,Independent,intolerant,Female,Born 1991 or later,White,College,At least once a week but not every day,90,70,Independent
3,4,3,1,2,4312,5,threatening (new),Republican,intolerant,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,0,0,Leaning Republican
4,1,4,3,2,1432,4,threatening,Republican,civil,Female,Born 1991 or later,Black,College,A few times a month,43,38,Leaning Republican
5,4,3,1,2,4312,2,uncivil,Democrat,intolerant,Male,Born 1975-1990,Black,High school graduate,Every day,51,75,Leaning Democrat
6,4,2,1,3,4213,3,intolerant,Republican,intolerant,Female,Born 1959-1974,White,College,Every day,0,8,Strong Republican
7,4,2,1,3,4213,0,control,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day,36,60,Leaning Democrat
8,4,1,2,3,4123,3,intolerant,Democrat,uncivil,Female,Born 1975-1990,Black,High school graduate,Every day,80,86,Democrat
9,4,3,1,2,4312,4,threatening,Democrat,intolerant,Female,Born 1975-1990,Race other/multiple,College,Every day,100,100,Leaning Democrat
10,4,2,3,1,4231,5,threatening (new),Democrat,threatening,Male,Born 1991 or later,Race other/multiple,"Professional degree,College",Every day,100,100,Strong Democrat
11,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day,60,100,Strong Democrat
12,1,3,2,4,1324,1,non-group-related control,Independent,civil,Female,Born 1959-1974,White,High school graduate,Every day,50,0,Independent
13,4,2,3,1,4231,5,threatening (new),Democrat,threatening,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,68,100,Democrat
14,4,1,2,3,4123,4,threatening,Republican,uncivil,Female,Born 1975-1990,White,College,At least once a week but not every day,17,7,Leaning Republican
15,2,3,1,4,2314,0,control,Independent,intolerant,Female,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),Every day,50,50,Independent
16,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day,100,100,Strong Democrat
17,1,2,3,4,1234,1,non-group-related control,Independent,civil,Female,Born 1991 or later,White,High school graduate,Every day,0,0,Independent
18,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Female,Born 1975-1990,White,High school graduate,Every day,0,0,Strong Democrat
19,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day,95,100,Strong Democrat
20,4,1,2,3,4123,2,uncivil,Democrat,uncivil,Male,Born 1991 or later,Hispanic,College,Every day,2,9,Leaning Democrat
21,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day,50,60,Democrat
22,4,1,2,3,4123,0,control,Democrat,uncivil,Female,Born 1959-1974,White,High school graduate,Every day,100,100,Strong Democrat
23,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Female,Born 1959-1974,White,High school graduate,Every day,0,0,Leaning Democrat
24,4,3,1,2,4312,4,threatening,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day,71,72,Democrat
25,4,1,2,3,4123,5,threatening (new),Independent,uncivil,Male,Born 1991 or later,White,College,Every day,0,0,Independent
26,4,3,2,1,4321,4,threatening,Independent,threatening,Male,Born 1991 or later,Hispanic,High school graduate,A few times a month,51,61,Independent
27,3,2,1,4,3214,0,control,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,Every day,40,41,Democrat
28,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Female,Born 1991 or later,White,College,Every day,87,97,Strong Democrat
29,4,1,2,3,4123,0,control,Democrat,uncivil,Female,Born 1991 or later,White,"High school graduate,College",Every day,100,100,Leaning Democrat
30,3,2,1,4,3214,3,intolerant,Independent,intolerant,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,0,9,Independent
31,1,4,2,3,1423,2,uncivil,Republican,civil,Other,Born 1959-1974,White,College,Every day,0,0,Republican
32,4,2,1,3,4213,5,threatening (new),Democrat,intolerant,Female,Born 1991 or later,White,College,Every day,60,65,Leaning Democrat
33,2,3,1,4,2314,1,non-group-related control,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day,0,0,Leaning Democrat
34,4,2,3,1,4231,4,threatening,Democrat,threatening,Female,Born 1991 or later,Black,College,Every day,27,79,Strong Democrat
35,3,2,1,4,3214,2,uncivil,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day,55,71,Leaning Democrat
36,4,2,3,1,4231,5,threatening (new),Independent,threatening,Male,Born 1991 or later,White,High school graduate,Every day,84,79,Independent
37,1,2,4,3,1243,1,non-group-related control,Democrat,civil,Female,Born 1991 or later,White,College,At least once a week but not every day,0,0,Strong Democrat
38,3,1,2,4,3124,2,uncivil,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day,0,0,Independent
39,4,2,3,1,4231,3,intolerant,Independent,threatening,Female,Born 1959-1974,White,High school graduate,Every day,100,100,Independent
40,3,2,1,4,3214,0,control,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day,10,5,Independent
41,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1975-1990,White,College,Every day,100,100,Democrat
42,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Male,Born 1991 or later,White,High school graduate,Every day,100,100,Strong Democrat
43,4,2,1,3,4213,2,uncivil,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,90,100,Independent
44,4,2,1,3,4213,0,control,Republican,intolerant,Male,Born 1975-1990,White,College,Every day,6,6,Leaning Republican
45,4,1,3,2,4132,5,threatening (new),Independent,uncivil,Male,Born 1975-1990,White,College,Every day,0,0,Independent
46,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day,15,6,Leaning Democrat
47,4,2,1,3,4213,0,control,Democrat,intolerant,Female,Born 1991 or later,Hispanic,High school graduate,Every day,58,66,Leaning Democrat
48,1,3,2,4,1324,1,non-group-related control,Independent,civil,Male,Born 1991 or later,White,College,At least once a week but not every day,0,0,Independent
49,4,2,3,1,4231,4,threatening,Independent,threatening,Male,Born 1991 or later,White,Professional degree,Every day,64,69,Independent
50,2,3,1,4,2314,3,intolerant,Democrat,intolerant,Female,Born 1991 or later,Race other/multiple,College,Every day,0,90,Democrat
51,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1975-1990,White,High school graduate,Every day,60,80,Democrat
52,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1943-1958,White,Professional degree,Every day,60,100,Democrat
53,4,2,1,3,4213,0,control,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day,60,70,Democrat
54,4,3,2,1,4321,4,threatening,Independent,threatening,Male,Born 1975-1990,Black,College,At least once a week but not every day,88,100,Independent
55,4,2,1,3,4213,2,uncivil,Independent,intolerant,Female,Born 1991 or later,White,College,Every day,82,60,Independent
56,1,3,2,4,1324,1,non-group-related control,Independent,civil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day,85,59,Independent
57,4,3,1,2,4312,4,threatening,Democrat,intolerant,Female,Born 1959-1974,White,High school graduate,At least once a week but not every day,0,0,Strong Democrat
58,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Male,Born 1991 or later,White,College,Every day,60,73,Democrat
59,4,3,1,2,4312,5,threatening (new),Democrat,intolerant,Female,Born 1975-1990,White,College,Every day,0,15,Leaning Democrat
60,4,2,1,3,4213,2,uncivil,Republican,intolerant,Male,Born 1991 or later,Race other/multiple,College,Every day,0,0,Republican
61,1,4,2,3,1423,3,intolerant,Independent,civil,Male,Born 1991 or later,White,College,Every day,53,52,Independent
62,4,1,2,3,4123,3,intolerant,Independent,uncivil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,16,18,Independent
63,4,2,1,3,4213,0,control,Independent,intolerant,Male,Born 1975-1990,White,High school graduate,Every day,0,0,Independent
64,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Male,Born 1975-1990,Black,High school graduate,Every day,5,0,Leaning Democrat
65,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day,97,100,Strong Democrat
66,3,2,1,4,3214,0,control,Democrat,intolerant,Female,Born 1975-1990,White,High school graduate,At least once a week but not every day,61,100,Leaning Democrat
67,4,2,3,1,4231,4,threatening,Independent,threatening,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day,60,60,Independent
68,4,2,3,1,4231,5,threatening (new),Democrat,threatening,Other,Born 1975-1990,White,High school graduate,Every day,100,100,Strong Democrat
69,3,2,1,4,3214,4,threatening,Republican,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,70,28,Leaning Republican
70,4,1,3,2,4132,3,intolerant,Democrat,uncivil,Male,Born 1975-1990,Black,High school graduate,Every day,0,29,Democrat
71,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day,70,85,Strong Democrat
72,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,White,College,Every day,0,0,Leaning Democrat
73,4,2,3,1,4231,5,threatening (new),Democrat,threatening,Female,Born 1959-1974,White,College,Every day,100,100,Strong Democrat
74,4,2,1,3,4213,0,control,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,Every day,89,96,Democrat
75,4,3,2,1,4321,4,threatening,Republican,threatening,Male,Born 1991 or later,White,College,Every day,18,93,Leaning Republican
76,3,1,2,4,3124,0,control,Democrat,uncivil,Male,Born 1959-1974,White,PhD,Every day,68,86,Strong Democrat
77,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1991 or later,White,High school graduate,Every day,39,55,Leaning Democrat
78,4,2,1,3,4213,0,control,Democrat,intolerant,Male,Born 1975-1990,White,"College,Postgraduate (e.g. Masters)",Every day,90,100,Democrat
79,1,3,2,4,1324,1,non-group-related control,Independent,civil,Female,Born 1991 or later,Race other/multiple,High school graduate,Every day,0,0,Independent
80,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Other,Born 1975-1990,White,Less than high school,Less often,62,68,Leaning Democrat
81,1,3,2,4,1324,1,non-group-related control,Republican,civil,Female,Born 1959-1974,White,College,Every day,0,0,Republican
82,4,3,1,2,4312,5,threatening (new),Republican,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day,65,69,Republican
83,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day,7,62,Strong Democrat
84,4,3,1,2,4312,3,intolerant,Independent,intolerant,Female,Born 1975-1990,White,Less than high school,Every day,100,100,Independent
85,4,2,1,3,4213,3,intolerant,Republican,intolerant,Male,Born 1975-1990,White,High school graduate,Every day,20,70,Leaning Republican
86,3,1,2,4,3124,0,control,Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,College,Every day,62,70,Leaning Democrat
87,1,4,2,3,1423,1,non-group-related control,Democrat,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,14,10,Democrat
88,4,1,2,3,4123,4,threatening,Independent,uncivil,Male,Born 1975-1990,White,College,Every day,70,100,Independent
89,3,1,2,4,3124,2,uncivil,Independent,uncivil,Male,Born 1975-1990,Race other/multiple,College,Every day,71,67,Independent
90,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,73,100,Democrat
91,1,3,4,2,1342,2,uncivil,Democrat,civil,Female,Born 1991 or later,Race other/multiple,Less than high school,Every day,86,83,Strong Democrat
92,1,2,3,4,1234,1,non-group-related control,Independent,civil,Male,Born 1975-1990,Black,Professional degree,Every day,4,2,Independent
93,3,2,1,4,3214,0,control,Independent,intolerant,Female,Born 1991 or later,Black,Postgraduate (e.g. Masters),Every day,58,90,Independent
94,4,3,2,1,4321,5,threatening (new),Republican,threatening,Female,Born 1991 or later,White,High school graduate,Every day,17,32,Leaning Republican
95,1,3,2,4,1324,3,intolerant,Republican,civil,Male,Born 1975-1990,White,High school graduate,Every day,0,0,Leaning Republican
96,4,1,2,3,4123,4,threatening,Independent,uncivil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,81,100,Independent
97,4,1,2,3,4123,0,control,Democrat,uncivil,Female,Born 1991 or later,White,High school graduate,Every day,100,100,Strong Democrat
98,4,3,1,2,4312,3,intolerant,Democrat,intolerant,Male,Born 1959-1974,White,College,Every day,51,51,Strong Democrat
99,4,2,1,3,4213,5,threatening (new),Democrat,intolerant,Female,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),Every day,35,70,Democrat
100,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Female,Born 1991 or later,White,College,Every day,100,100,Strong Democrat
101,1,3,4,2,1342,4,threatening,Democrat,civil,Male,Born 1991 or later,White,College,Every day,79,97,Democrat
102,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1975-1990,Hispanic,High school graduate,Every day,75,80,Democrat
103,1,3,2,4,1324,1,non-group-related control,Republican,civil,Male,Born 1991 or later,Hispanic,High school graduate,Every day,8,11,Leaning Republican
104,4,2,1,3,4213,3,intolerant,Republican,intolerant,Male,Born 1959-1974,White,College,Every day,47,56,Leaning Republican
105,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1959-1974,White,PhD,Every day,67,83,Strong Democrat
106,3,2,1,4,3214,1,non-group-related control,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day,0,0,Democrat
107,3,2,4,1,3241,2,uncivil,Democrat,threatening,Male,Born 1975-1990,White,College,Every day,72,89,Democrat
108,4,2,1,3,4213,2,uncivil,Republican,intolerant,Male,Born 1991 or later,Hispanic,High school graduate,Every day,0,0,Leaning Republican
109,1,4,2,3,1423,1,non-group-related control,Democrat,civil,Female,Born 1975-1990,Hispanic,College,Every day,16,4,Democrat
110,4,2,3,1,4231,4,threatening,Democrat,threatening,Female,Born 1975-1990,White,College,Every day,27,66,Leaning Democrat
111,4,3,2,1,4321,5,threatening (new),Republican,threatening,Female,Born 1975-1990,White,College,Every day,33,59,Republican
112,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day,78,100,Leaning Democrat
113,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Female,Born 1991 or later,Race other/multiple,College,At least once a week but not every day,70,80,Democrat
114,4,3,1,2,4312,4,threatening,Republican,intolerant,Female,Born 1975-1990,White,College,Every day,72,69,Strong Republican
115,3,1,2,4,3124,0,control,Democrat,uncivil,Male,Born 1975-1990,Black,High school graduate,Every day,30,15,Leaning Democrat
116,4,1,3,2,4132,5,threatening (new),Democrat,uncivil,Male,Born 1975-1990,Race other/multiple,College,Every day,62,85,Democrat
117,3,2,1,4,3214,0,control,Democrat,intolerant,Male,Born 1975-1990,White,College,Every day,55,90,Leaning Democrat
118,4,3,1,2,4312,3,intolerant,Democrat,intolerant,Female,Born 1991 or later,NA,High school graduate,Every day,0,70,Leaning Democrat
119,1,3,2,4,1324,0,control,Republican,civil,Female,Born 1975-1990,White,College,Less often,0,0,Strong Republican
120,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,100,100,Strong Democrat
121,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1959-1974,White,Postgraduate (e.g. Masters),Every day,85,100,Strong Democrat
122,4,3,1,2,4312,5,threatening (new),Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,90,100,Leaning Democrat
123,1,3,2,4,1324,1,non-group-related control,Republican,civil,Male,Born 1975-1990,White,High school graduate,Every day,0,0,Leaning Republican
124,1,3,2,4,1324,3,intolerant,Republican,civil,Male,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),A few times a month,0,0,Leaning Republican
125,4,1,2,3,4123,2,uncivil,Independent,uncivil,Female,Born 1991 or later,White,College,Every day,50,50,Independent
126,4,3,2,1,4321,5,threatening (new),Republican,threatening,Male,Born 1991 or later,Black,College,Every day,38,29,Leaning Republican
127,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,0,0,Democrat
128,4,2,3,1,4231,4,threatening,Democrat,threatening,Female,Born 1991 or later,Black,College,At least once a week but not every day,24,35,Democrat
129,4,2,1,3,4213,0,control,Republican,intolerant,Female,Born 1975-1990,Hispanic,Postgraduate (e.g. Masters),Every day,0,0,Leaning Republican
130,3,2,1,4,3214,2,uncivil,Democrat,intolerant,Female,Born 1975-1990,Black,High school graduate,Every day,0,0,Leaning Democrat
131,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Female,Born 1991 or later,Race other/multiple,High school graduate,Every day,51,13,Democrat
132,4,3,2,1,4321,4,threatening,Independent,threatening,Male,Born 1975-1990,White,High school graduate,Every day,29,66,Independent
133,4,3,1,2,4312,4,threatening,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,80,100,Leaning Democrat
134,4,2,1,3,4213,0,control,Democrat,intolerant,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,30,50,Strong Democrat
135,4,2,3,1,4231,4,threatening,Republican,threatening,Female,Born 1959-1974,White,High school graduate,Every day,51,51,Leaning Republican
136,1,4,2,3,1423,1,non-group-related control,Democrat,civil,Female,Born 1991 or later,White,College,Every day,0,0,Strong Democrat
137,4,1,2,3,4123,2,uncivil,Democrat,uncivil,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,57,70,Leaning Democrat
138,1,3,2,4,1324,1,non-group-related control,Republican,civil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day,51,51,Leaning Republican
139,2,1,4,3,2143,2,uncivil,Republican,uncivil,Male,Born 1959-1974,White,High school graduate,At least once a week but not every day,10,3,Leaning Republican
140,4,2,1,3,4213,3,intolerant,Republican,intolerant,Female,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,30,35,Strong Republican
141,2,1,4,3,2143,3,intolerant,Democrat,uncivil,Male,Born 1975-1990,White,College,Every day,72,60,Democrat
142,1,3,2,4,1324,0,control,Independent,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,0,0,Independent
143,4,1,3,2,4132,5,threatening (new),Republican,uncivil,Male,Born 1991 or later,Race other/multiple,Professional degree,At least once a week but not every day,0,0,Leaning Republican
144,1,3,2,4,1324,3,intolerant,Independent,civil,Male,Born 1991 or later,Race other/multiple,College,Every day,0,50,Independent
145,2,4,1,3,2413,0,control,Independent,intolerant,Male,Born 1975-1990,Black,College,Every day,20,19,Independent
146,4,3,2,1,4321,4,threatening,Democrat,threatening,Female,Born 1991 or later,Race other/multiple,High school graduate,At least once a week but not every day,61,72,Democrat
147,1,3,2,4,1324,0,control,Democrat,civil,Other,Born 1991 or later,White,High school graduate,At least once a week but not every day,40,55,Leaning Democrat
148,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1975-1990,White,"Professional degree,College",Every day,80,100,Leaning Democrat
149,3,2,1,4,3214,0,control,Democrat,intolerant,Male,Born 1991 or later,White,College,At least once a week but not every day,60,75,Strong Democrat
150,1,4,2,3,1423,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,White,College,Less often,0,0,Leaning Democrat
151,3,2,1,4,3214,2,uncivil,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day,81,100,Democrat
152,3,1,2,4,3124,3,intolerant,Independent,uncivil,Male,Born 1991 or later,White,Professional degree,Less often,30,80,Independent
153,4,2,1,3,4213,5,threatening (new),Democrat,intolerant,Female,Born 1991 or later,White,College,Every day,0,22,Democrat
154,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Female,Born 1991 or later,White,High school graduate,Every day,3,0,Democrat
155,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1991 or later,White,Professional degree,Every day,80,80,Democrat
156,4,2,1,3,4213,5,threatening (new),Democrat,intolerant,Male,Born 1975-1990,White,Professional degree,Every day,0,83,Leaning Democrat
157,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Female,Born 1991 or later,Hispanic,College,Every day,14,26,Democrat
158,4,2,3,1,4231,4,threatening,Independent,threatening,Male,Born 1991 or later,Hispanic,High school graduate,At least once a week but not every day,29,72,Independent
159,4,3,2,1,4321,5,threatening (new),Independent,threatening,Other,Born 1991 or later,White,College,Every day,76,100,Independent
160,1,4,3,2,1432,5,threatening (new),Republican,civil,Male,Born 1991 or later,White,College,Every day,23,12,Leaning Republican
161,4,1,2,3,4123,2,uncivil,Independent,uncivil,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,82,71,Independent
162,4,2,3,1,4231,4,threatening,Democrat,threatening,Male,Born 1975-1990,White,High school graduate,Every day,100,100,Strong Democrat
163,3,2,1,4,3214,0,control,Democrat,intolerant,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day,8,19,Democrat
164,1,2,3,4,1234,1,non-group-related control,Independent,civil,Male,Born 1959-1974,White,High school graduate,Every day,0,0,Independent
165,4,2,1,3,4213,0,control,Independent,intolerant,Other,Born 1991 or later,White,High school graduate,Every day,96,100,Independent
166,4,1,3,2,4132,2,uncivil,Democrat,uncivil,Female,Born 1991 or later,Race other/multiple,High school graduate,Every day,100,94,Leaning Democrat
167,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1991 or later,Black,High school graduate,Every day,92,93,Leaning Democrat
168,4,2,1,3,4213,0,control,Independent,intolerant,Female,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),Every day,75,100,Independent
169,4,1,2,3,4123,3,intolerant,Independent,uncivil,Male,Born 1975-1990,NA,High school graduate,Every day,66,76,Independent
170,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Male,Born 1943-1958,White,College,Every day,95,96,Strong Democrat
171,4,1,2,3,4123,3,intolerant,Independent,uncivil,Female,Born 1991 or later,White,High school graduate,Every day,82,88,Independent
172,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Female,Born 1975-1990,White,College,Every day,89,90,Strong Democrat
173,4,1,3,2,4132,1,non-group-related control,Republican,uncivil,Male,Born 1991 or later,Race other/multiple,Postgraduate (e.g. Masters),At least once a week but not every day,100,93,Leaning Republican
174,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1991 or later,Hispanic,High school graduate,Less often,66,72,Democrat
175,4,1,3,2,4132,5,threatening (new),Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Every day,63,82,Independent
176,1,4,3,2,1432,1,non-group-related control,Democrat,civil,Male,Born 1959-1974,White,College,Every day,0,0,Democrat
177,4,1,3,2,4132,5,threatening (new),Republican,uncivil,Female,Born 1975-1990,White,Professional degree,Every day,25,75,Leaning Republican
178,3,1,2,4,3124,0,control,Democrat,uncivil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day,37,55,Democrat
179,4,3,1,2,4312,5,threatening (new),Independent,intolerant,Female,Born 1991 or later,White,High school graduate,Every day,62,84,Independent
180,4,1,2,3,4123,2,uncivil,Democrat,uncivil,Female,Born 1991 or later,Hispanic,College,Every day,100,100,Strong Democrat
181,3,2,1,4,3214,2,uncivil,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day,38,82,Strong Democrat
182,1,3,2,4,1324,1,non-group-related control,Republican,civil,Female,Born 1959-1974,White,High school graduate,Every day,0,0,Republican
183,4,1,3,2,4132,4,threatening,Democrat,uncivil,Female,Born 1943-1958,White,High school graduate,Every day,81,84,Democrat
184,4,3,2,1,4321,4,threatening,Independent,threatening,Female,Born 1975-1990,White,College,At least once a week but not every day,98,88,Independent
185,1,3,2,4,1324,1,non-group-related control,Republican,civil,Male,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),At least once a week but not every day,7,3,Leaning Republican
186,4,1,2,3,4123,2,uncivil,Independent,uncivil,Male,Born 1991 or later,White,High school graduate,Every day,6,3,Independent
187,4,2,1,3,4213,3,intolerant,Republican,intolerant,Male,Born 1975-1990,White,Professional degree,At least once a week but not every day,37,47,Leaning Republican
188,4,3,2,1,4321,4,threatening,Democrat,threatening,Female,Born 1975-1990,Black,Professional degree,Every day,88,88,Democrat
189,4,1,2,3,4123,5,threatening (new),Republican,uncivil,Male,Born 1991 or later,White,High school graduate,At least once a week but not every day,31,0,Leaning Republican
190,4,3,2,1,4321,3,intolerant,Democrat,threatening,Male,Born 1959-1974,White,College,Every day,100,65,Democrat
191,1,2,3,4,1234,0,control,Republican,civil,Male,Born 1975-1990,White,High school graduate,At least once a week but not every day,0,0,Republican
192,4,3,1,2,4312,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,90,85,Strong Democrat
193,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Female,Born 1991 or later,Hispanic,High school graduate,Every day,0,0,Democrat
194,4,2,3,1,4231,4,threatening,Republican,threatening,Female,Born 1975-1990,White,High school graduate,Every day,100,100,Republican
195,3,2,1,4,3214,2,uncivil,Democrat,intolerant,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day,82,61,Democrat
196,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,Black,High school graduate,Every day,0,0,Leaning Democrat
197,4,2,1,3,4213,0,control,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day,90,99,Democrat
198,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Female,Born 1991 or later,White,College,Every day,84,83,Leaning Democrat
199,4,1,2,3,4123,4,threatening,Independent,uncivil,Female,Born 1975-1990,White,High school graduate,Every day,30,32,Independent
200,4,1,2,3,4123,2,uncivil,Democrat,uncivil,Female,Born 1959-1974,White,PhD,Every day,70,100,Democrat
201,4,1,2,3,4123,3,intolerant,Democrat,uncivil,Female,Born 1975-1990,Black,College,A few times a month,50,95,Strong Democrat
202,4,2,3,1,4231,4,threatening,Independent,threatening,Male,Born 1991 or later,White,College,Every day,0,14,Independent
203,4,1,2,3,4123,5,threatening (new),Democrat,uncivil,Female,Born 1975-1990,White,College,Every day,84,100,Strong Democrat
204,3,2,1,4,3214,0,control,Independent,intolerant,Female,Born 1991 or later,White,College,Every day,70,100,Independent
205,4,1,2,3,4123,3,intolerant,Democrat,uncivil,Female,Born 1991 or later,White,College,Every day,76,85,Democrat
206,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Female,Born 1959-1974,White,Professional degree,Every day,81,52,Democrat
207,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,White,PhD,Every day,4,17,Democrat
208,4,2,1,3,4213,4,threatening,Independent,intolerant,Male,Born 1975-1990,White,College,Every day,81,85,Independent
209,4,3,2,1,4321,5,threatening (new),Democrat,threatening,Male,Born 1991 or later,White,College,Every day,37,4,Democrat
210,1,3,2,4,1324,2,uncivil,Republican,civil,Male,Born 1991 or later,Race other/multiple,College,Every day,8,1,Leaning Republican
211,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),At least once a week but not every day,64,100,Democrat
212,4,2,3,1,4231,5,threatening (new),Democrat,threatening,Female,Born 1959-1974,White,College,Every day,51,61,Leaning Democrat
213,4,1,2,3,4123,0,control,Democrat,uncivil,Male,Born 1975-1990,White,College,At least once a week but not every day,72,73,Strong Democrat
214,1,3,2,4,1324,1,non-group-related control,Republican,civil,Female,Born 1975-1990,White,Professional degree,Every day,100,100,Leaning Republican
215,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Female,Born 1959-1974,White,College,Every day,0,0,Leaning Democrat
