unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,age,female
1762,NA,1,NA,NA,NA,NA,-1----,0,35,2
1763,NA,2,NA,NA,1,NA,-2--1-,1,32,2
1764,NA,1,NA,NA,NA,NA,-1----,1,47,2
1765,NA,1,NA,NA,3,2,-1--32,1,61,2
1766,NA,1,NA,NA,NA,2,-1---2,1,33,5
1767,NA,1,NA,NA,NA,2,-1---2,6,32,3
1768,1,NA,NA,NA,NA,NA,1-----,5,22,4
1769,NA,1,NA,NA,NA,NA,-1----,2,30,2
1770,NA,1,NA,NA,NA,NA,-1----,5,37,2
1771,NA,1,NA,NA,NA,2,-1---2,6,43,1
1772,NA,1,NA,NA,NA,2,-1---2,1,41,1
1773,1,NA,2,3,NA,NA,1-23--,4,47,3
1774,1,NA,2,3,NA,NA,1-23--,7,51,1
1775,NA,NA,NA,NA,NA,NA,------,7,33,6
1776,NA,1,NA,NA,NA,NA,-1----,3,39,2
1777,NA,1,NA,NA,NA,2,-1---2,2,39,2
1778,NA,1,NA,NA,NA,NA,-1----,7,30,2
1779,1,NA,2,3,NA,NA,1-23--,7,43,2
1780,1,NA,2,3,NA,NA,1-23--,2,47,1
1781,1,NA,2,3,NA,NA,1-23--,5,56,1
1782,1,NA,2,3,NA,NA,1-23--,5,43,2
1783,1,NA,2,3,NA,NA,1-23--,1,46,3
1784,NA,NA,NA,NA,NA,NA,------,1,27,1
1785,NA,1,NA,NA,NA,NA,-1----,2,33,2
1786,NA,1,NA,NA,NA,2,-1---2,0,21,5
1787,NA,1,NA,NA,NA,NA,-1----,1,51,1
1788,NA,1,NA,NA,3,2,-1--32,0,57,2
1789,NA,1,NA,NA,NA,2,-1---2,1,65,1
1790,NA,1,NA,NA,NA,2,-1---2,7,42,6
1791,NA,1,NA,NA,NA,2,-1---2,3,38,3
1792,NA,2,NA,NA,1,3,-2--13,7,45,3
1793,NA,1,NA,NA,NA,2,-1---2,7,26,3
1794,NA,1,NA,NA,NA,2,-1---2,3,43,3
1795,NA,1,NA,NA,NA,2,-1---2,5,33,3
1796,NA,1,NA,NA,NA,2,-1---2,6,28,2
1797,1,NA,NA,NA,NA,NA,1-----,7,32,2
1798,NA,1,NA,NA,NA,2,-1---2,6,50,2
1799,NA,1,NA,NA,NA,2,-1---2,1,38,1
1800,NA,1,NA,NA,NA,2,-1---2,4,22,3
1801,NA,1,NA,NA,NA,2,-1---2,2,38,3
1802,NA,1,NA,NA,NA,2,-1---2,5,29,3
1803,NA,1,NA,NA,NA,2,-1---2,7,37,2
1804,NA,1,NA,NA,NA,2,-1---2,3,28,2
1805,NA,1,NA,NA,NA,2,-1---2,1,32,4
1806,NA,1,NA,NA,NA,2,-1---2,0,35,5
1807,NA,1,NA,NA,NA,2,-1---2,5,61,1
1808,NA,1,NA,NA,NA,2,-1---2,2,30,2
1809,NA,1,NA,NA,NA,2,-1---2,5,35,3
1810,NA,1,NA,NA,NA,NA,-1----,5,22,4
1811,NA,1,NA,NA,NA,NA,-1----,2,27,3
1812,NA,1,NA,NA,NA,2,-1---2,2,28,2
1813,NA,1,NA,NA,NA,2,-1---2,0,36,2
1814,NA,1,NA,NA,NA,2,-1---2,1,25,3
1815,NA,2,NA,NA,1,NA,-2--1-,1,37,1
1816,NA,1,NA,NA,3,2,-1--32,5,43,1
1817,NA,1,NA,NA,NA,2,-1---2,1,35,5
1818,NA,NA,NA,NA,NA,NA,------,0,28,3
1819,NA,3,NA,NA,1,2,-3--12,6,38,3
1820,1,NA,2,3,NA,NA,1-23--,4,36,2
1821,NA,1,NA,NA,NA,2,-1---2,5,50,2
1822,NA,2,NA,NA,1,NA,-2--1-,6,40,1
1823,1,NA,NA,NA,NA,NA,1-----,2,49,5
1824,2,NA,1,NA,NA,NA,2-1---,7,52,6
1825,1,NA,2,3,NA,NA,1-23--,2,40,6
1826,NA,1,NA,NA,NA,NA,-1----,1,21,3
1827,1,NA,NA,NA,NA,NA,1-----,5,65,3
1828,NA,1,NA,NA,NA,2,-1---2,3,60,2
1829,NA,NA,NA,NA,NA,NA,------,7,44,3
1830,NA,1,NA,NA,NA,NA,-1----,5,32,2
1831,NA,1,NA,NA,NA,NA,-1----,7,30,3
1832,NA,1,NA,NA,NA,2,-1---2,5,31,3
1833,NA,1,NA,NA,NA,2,-1---2,4,32,2
1834,NA,1,NA,NA,NA,2,-1---2,7,33,3
1835,NA,1,NA,NA,NA,NA,-1----,6,40,2
1836,NA,NA,1,NA,NA,NA,--1---,1,50,2
1837,NA,1,NA,NA,NA,2,-1---2,0,39,3
1838,NA,1,NA,NA,NA,NA,-1----,6,45,2
1839,1,NA,2,NA,NA,NA,1-2---,2,48,3
1840,NA,1,NA,NA,NA,2,-1---2,6,30,2
1841,1,NA,2,NA,NA,NA,1-2---,5,26,3
1842,1,NA,NA,NA,NA,NA,1-----,7,42,2
1843,NA,1,NA,NA,NA,2,-1---2,0,30,2
1844,NA,1,NA,NA,NA,2,-1---2,2,28,1
1845,NA,1,NA,NA,NA,2,-1---2,7,35,3
1846,NA,1,NA,NA,3,2,-1--32,1,34,2
1847,NA,1,NA,NA,NA,NA,-1----,6,27,2
1848,1,NA,2,NA,NA,NA,1-2---,2,21,2
1849,NA,1,NA,NA,2,NA,-1--2-,4,40,2
1850,NA,1,NA,NA,NA,NA,-1----,4,29,5
1851,NA,1,NA,NA,NA,NA,-1----,7,22,5
1852,NA,1,NA,NA,NA,NA,-1----,1,27,2
1853,NA,1,NA,NA,NA,2,-1---2,7,28,5
1854,1,NA,NA,NA,NA,NA,1-----,1,34,1
1855,NA,1,NA,NA,NA,NA,-1----,0,32,2
1856,1,NA,2,3,NA,NA,1-23--,2,31,1
1857,1,NA,2,3,NA,NA,1-23--,7,54,1
1858,NA,1,NA,NA,NA,NA,-1----,2,23,4
1859,NA,1,NA,NA,NA,NA,-1----,0,42,1
1860,NA,1,NA,NA,NA,NA,-1----,1,34,2
1861,NA,1,NA,NA,NA,NA,-1----,0,47,2
1862,NA,1,NA,NA,NA,NA,-1----,2,45,1
1863,1,NA,2,NA,NA,NA,1-2---,1,30,4
1864,1,NA,NA,NA,NA,NA,1-----,1,27,4
1865,1,NA,NA,NA,NA,NA,1-----,4,22,2
1866,NA,1,NA,NA,2,3,-1--23,7,42,3
1867,NA,1,NA,NA,NA,NA,-1----,6,38,2
1868,NA,1,NA,NA,2,3,-1--23,6,45,4
1869,1,NA,2,3,NA,NA,1-23--,2,43,2
1870,1,NA,2,3,NA,NA,1-23--,1,37,2
1871,1,NA,2,3,NA,NA,1-23--,5,46,2
1872,1,NA,2,3,NA,NA,1-23--,3,40,2
1873,1,NA,2,3,NA,NA,1-23--,5,42,2
1874,1,NA,2,3,NA,NA,1-23--,6,40,2
1875,1,NA,2,3,NA,NA,1-23--,6,31,2
1876,1,NA,2,3,NA,NA,1-23--,2,53,2
1877,1,NA,2,3,NA,NA,1-23--,1,43,1
1878,NA,NA,NA,NA,NA,NA,------,2,59,3
1879,1,NA,2,3,NA,NA,1-23--,1,45,3
1880,NA,NA,NA,NA,NA,NA,------,0,24,3
1881,NA,1,NA,NA,2,3,-1--23,2,55,2
1882,NA,1,NA,NA,2,3,-1--23,7,28,5
1883,NA,1,NA,NA,3,2,-1--32,2,42,5
1884,NA,1,NA,NA,3,2,-1--32,0,24,3
1885,NA,1,NA,NA,3,2,-1--32,6,32,4
1886,NA,1,NA,NA,NA,NA,-1----,6,58,2
1887,1,NA,2,3,NA,NA,1-23--,1,60,1
1888,1,NA,2,NA,NA,NA,1-2---,7,49,3
1889,1,NA,2,NA,NA,NA,1-2---,2,38,5
1890,1,NA,NA,NA,NA,NA,1-----,1,23,4
1891,1,NA,2,3,NA,NA,1-23--,2,53,2
1892,1,NA,2,3,NA,NA,1-23--,5,27,2
1893,1,NA,2,3,NA,NA,1-23--,0,33,8
1894,1,NA,2,3,NA,NA,1-23--,6,47,2
1895,1,NA,2,3,NA,NA,1-23--,0,42,2
1896,1,NA,2,3,NA,NA,1-23--,4,37,2
1897,1,NA,2,3,NA,NA,1-23--,1,46,2
1898,1,NA,2,3,NA,NA,1-23--,5,43,2
1899,1,NA,2,3,NA,NA,1-23--,7,47,2
1900,1,NA,2,3,NA,NA,1-23--,1,36,3
