unit,budgetfunding,teacherquality,learninggains,achievementgaps,commoncore,ranking,treat,teacher,avghispgap,avgblkgap
240,2,1,5,4,3,21543,1,0,11.30000114440918,13.850000381469728
241,5,1,3,4,2,51342,0,0,6.9499969482421875,NA
242,3,4,5,2,1,34521,0,0,20.75,16.899999618530273
243,5,1,4,2,3,51423,0,1,11.44999885559082,18.5
244,NA,NA,NA,NA,NA,-----,1,NA,31.149999618530273,23.899999618530273
245,1,2,3,4,5,12345,1,0,29.749998092651367,15
246,5,4,1,3,2,54132,1,0,13.349998474121094,17.149999618530273
247,4,5,2,1,3,45213,0,0,19.44999885559082,13.75
248,3,5,NA,2,1,35-21,1,0,12.850000381469728,-8.650001525878906
249,5,3,2,4,1,53241,1,0,44.400001525878906,NA
250,4,NA,1,NA,3,4-1-3,0,1,17.25,15.700000762939451
251,5,4,1,2,3,54123,0,1,24.350000381469727,21.299999237060547
252,3,5,4,1,2,35412,1,0,12.899999618530272,16.099998474121094
253,5,4,3,1,2,54312,1,0,13.75,16.900001525878906
254,2,3,4,5,1,23451,1,1,29.75,NA
255,5,4,1,2,3,54123,NA,1,20.54999732971191,25.79999732971191
256,2,1,4,5,3,21453,0,0,32.19999694824219,33.75
257,1,3,2,4,5,13245,1,1,20.30000114440918,NA
258,1,3,2,5,4,13254,0,0,9.35000228881836,22.149999618530273
259,5,3,1,2,4,53124,1,0,15.049997329711914,15.949996948242188
260,1,3,2,4,5,13245,1,0,16.749998092651367,22.499998092651367
261,4,5,1,3,2,45132,0,0,10,20.450000762939453
262,2,3,1,5,4,23154,1,0,20.94999885559082,24.349998474121097
263,5,1,3,2,4,51324,1,0,14.399999618530272,NA
264,3,2,1,5,4,32154,0,0,18.200000762939453,20.60000228881836
265,1,4,3,5,2,14352,1,0,10.64999771118164,3.1499977111816406
266,4,5,3,2,1,45321,1,1,30.80000114440918,NA
267,1,3,4,2,5,13425,0,0,18.500001907348633,14.700002670288086
268,3,2,4,5,1,32451,1,0,17.399999618530273,17.75
269,NA,NA,3,5,4,--354,0,0,27.650001525878903,34.30000305175781
270,5,4,2,3,1,54231,0,0,26,32.04999542236328
271,5,4,1,2,3,54123,1,0,20.049999237060547,NA
272,2,3,4,5,1,23451,1,0,19.45000267028809,17.700000762939453
273,3,5,NA,NA,NA,35---,1,0,20.250001907348633,16.650001525878906
274,4,2,3,5,1,42351,0,0,6.049999237060547,10
