unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
81,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2-1-------3,1,1,1,3,4,2,2,2,1,3
82,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2-13-------,1,1,1,4,2,3,3,1,2,3
83,NA,NA,3,1,NA,NA,NA,2,NA,NA,NA,--31---2---,1,1,1,2,2,2,5,2,2,3
84,NA,NA,3,NA,1,NA,2,NA,NA,NA,NA,--3-1-2----,1,1,2,2,3,3,4,2,2,2
85,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,--1---23---,1,1,2,3,4,2,4,3,2,3
86,NA,NA,NA,3,1,NA,2,NA,NA,NA,NA,---31-2----,1,1,1,2,4,4,6,5,1,2
87,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,1,1,1,2,2,3,5,4,3,2
88,NA,NA,NA,NA,3,2,NA,1,NA,NA,NA,----32-1---,1,1,2,2,3,3,6,4,1,4
89,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,0,1,1,2,2,3,1,3,2,2
90,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,--2-1-3----,0,1,1,2,4,4,6,1,2,3
91,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2-1-------3,0,NA,1,3,2,3,3,2,2,3
92,NA,NA,NA,NA,NA,NA,2,1,NA,3,NA,------21-3-,0,3,1,2,3,4,6,3,2,3
93,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,----3-21---,0,1,1,2,3,2,1,6,1,99
94,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,--1---3----,0,1,1,4,2,4,6,1,2,2
95,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2-1---3----,0,NA,99,NA,99,99,99,99,99,99
96,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,0,1,1,3,4,2,4,2,3,3
97,NA,NA,NA,NA,1,NA,2,NA,3,NA,NA,----1-2-3--,0,1,1,2,3,4,6,6,1,3
98,NA,NA,NA,NA,2,NA,1,3,NA,NA,NA,----2-13---,0,1,1,2,3,3,6,2,3,3
99,3,NA,NA,NA,2,NA,NA,1,NA,NA,NA,3---2--1---,0,4,1,2,2,4,4,3,2,3
100,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,123--------,2,2,2,2,3,4,5,7,2,4
