unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
466,NA,NA,NA,NA,2,NA,NA,1,3,NA,NA,----2--13--,4,1,2,2,2,4,6,4,2,3
467,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,1,1,2,2,4,4,2,3,1,2
468,NA,NA,NA,2,NA,NA,1,NA,NA,NA,3,---2--1---3,1,1,2,2,3,3,4,2,2,3
469,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,--23---1---,0,1,2,2,2,4,3,1,2,2
470,3,NA,NA,2,NA,NA,NA,1,NA,NA,NA,3--2---1---,3,1,2,2,4,4,6,4,2,3
471,NA,NA,NA,NA,NA,NA,2,3,1,NA,NA,------231--,1,NA,99,NA,99,99,99,99,99,99
472,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,---1-------,3,1,2,3,4,4,6,7,2,4
473,NA,NA,NA,NA,2,NA,3,1,NA,NA,NA,----2-31---,4,1,2,3,3,3,4,99,1,3
474,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,-----2--1--,3,1,1,NA,3,3,4,5,2,4
475,NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,-21---3----,1,1,2,2,3,3,5,4,2,2
476,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,-------21--,2,1,2,2,3,4,6,2,3,3
477,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,1,1,2,2,4,4,3,4,2,3
478,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,------1-2--,0,1,2,NA,3,3,99,7,2,3
479,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,0,1,1,1,1,3,3,7,2,3
480,2,1,NA,NA,NA,NA,NA,3,NA,NA,NA,21-----3---,4,1,1,3,4,4,6,7,1,4
481,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,1,1,2,1,3,3,99,7,2,4
482,NA,NA,NA,3,NA,NA,NA,2,NA,NA,1,---3---2--1,2,5,1,3,4,2,6,6,1,2
483,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,-3--2--1---,0,1,2,1,2,4,3,5,2,2
484,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,------12---,3,3,1,1,2,4,6,3,2,2
485,NA,NA,1,NA,NA,NA,NA,3,NA,NA,2,--1----3--2,1,1,2,2,2,3,4,3,2,2
486,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1----------,2,NA,99,NA,99,99,99,99,99,99
487,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,---2--1----,0,NA,99,NA,99,99,99,99,99,99
488,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA,3--2--1----,4,1,2,2,2,3,6,7,1,4
489,NA,3,NA,2,NA,NA,NA,1,NA,NA,NA,-3-2---1---,0,1,1,2,3,4,6,6,2,2
490,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,---1---2---,0,1,2,3,4,3,4,4,3,2
491,NA,3,NA,NA,NA,NA,NA,2,1,NA,NA,-3-----21--,3,NA,2,2,1,4,6,6,2,4
492,NA,3,NA,NA,NA,NA,NA,2,1,NA,NA,-3-----21--,4,1,1,2,1,4,6,3,2,4
493,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,--1---23---,4,1,1,2,2,3,1,2,2,2
494,NA,2,NA,1,NA,NA,NA,3,NA,NA,NA,-2-1---3---,1,1,1,2,3,3,6,2,2,3
495,1,NA,NA,NA,NA,NA,2,NA,NA,3,NA,1-----2--3-,2,1,1,3,1,4,3,7,2,4
496,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2--1--3----,3,1,1,2,2,3,5,5,1,2
497,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,------1-2--,0,1,2,1,1,3,6,6,3,4
498,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1----32----,0,NA,1,1,4,4,99,99,2,3
499,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,---1-------,3,3,2,2,2,3,6,5,2,4
500,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1---------,2,1,2,2,3,4,4,5,2,3
501,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1,---3--2---1,0,1,2,2,4,3,3,2,3,3
502,NA,NA,NA,3,NA,NA,1,NA,NA,NA,2,---3--1---2,0,1,1,2,3,3,4,1,3,4
503,2,NA,NA,NA,NA,NA,NA,1,NA,NA,3,2------1--3,2,1,1,1,4,4,6,5,2,2
504,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,-----213---,1,1,1,4,3,4,6,7,2,3
505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,1,4,2,3,3,3,99,6,3,3
506,NA,NA,NA,2,NA,NA,NA,3,1,NA,NA,---2---31--,2,1,2,3,2,4,3,3,2,3
507,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,--2-1-3----,4,1,1,2,4,4,3,1,3,3
508,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,-----1-2---,2,1,1,1,4,2,2,7,2,3
509,3,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3--1---2---,3,1,1,2,3,4,4,4,2,3
510,NA,NA,2,NA,3,NA,NA,1,NA,NA,NA,--2-3--1---,3,4,2,2,3,4,5,3,2,1
511,2,NA,NA,1,NA,NA,NA,NA,NA,NA,3,2--1------3,2,1,1,2,3,4,4,3,1,2
512,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,---1-------,4,5,1,1,1,2,2,99,3,3
513,NA,NA,NA,2,NA,3,NA,1,NA,NA,NA,---2-3-1---,0,1,1,1,4,4,6,6,1,3
514,NA,2,NA,NA,NA,NA,3,1,NA,NA,NA,-2----31---,0,1,1,2,1,4,3,3,2,3
515,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,--32---1---,2,1,1,2,1,3,3,3,2,2
516,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,---1-------,1,1,1,3,2,3,99,3,2,3
517,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2--1-------,1,NA,99,NA,99,99,99,99,99,99
518,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,---2-----3-,3,1,1,2,4,3,1,1,2,3
519,NA,NA,1,2,NA,NA,NA,NA,NA,NA,3,--12------3,3,2,1,4,2,2,1,2,2,4
520,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,------1----,4,1,1,4,2,3,6,7,3,4
521,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,32-1-------,4,1,1,2,2,4,6,4,3,3
522,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,1,4,1,3,3,88,3,99,99,99
523,NA,NA,2,NA,NA,NA,3,1,NA,NA,NA,--2---31---,4,5,2,2,2,3,4,3,2,3
524,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,------13---,0,1,1,2,3,3,99,4,3,2
525,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,3--12------,0,5,2,2,2,4,6,6,2,3
526,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,4,6,2,3,2,2,2,4,2,2
527,NA,3,1,NA,NA,NA,2,NA,NA,NA,NA,-31---2----,3,3,99,NA,3,2,99,2,2,4
528,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1-3---2----,0,3,99,2,3,3,6,2,2,2
529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,1,3,1,2,2,3,3,4,2,3
530,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,1,2,2,4,3,1,2,3,3
531,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,3-----12---,2,1,1,3,3,4,1,99,2,3
532,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,---2---1---,4,1,1,3,2,4,2,5,2,2
533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,0,3,2,2,1,4,1,2,3,2
534,2,NA,1,NA,NA,NA,NA,3,NA,NA,NA,2-1----3---,1,1,1,2,3,3,4,5,2,3
535,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,2,1,1,NA,4,3,99,1,99,4
536,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3-2---1----,3,1,1,2,4,3,1,3,2,3
537,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,4,1,2,4,2,4,5,1,2,3
538,NA,NA,3,NA,NA,NA,2,NA,NA,NA,1,--3---2---1,0,2,1,2,3,4,5,2,3,3
539,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,--1---3----,1,3,2,2,1,3,2,1,2,2
540,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,---1---2---,2,NA,99,NA,99,99,99,99,99,99
541,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA,3-1-2------,3,1,1,3,3,4,3,2,2,2
542,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,---23-1----,4,1,2,2,1,3,4,2,2,2
543,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,--213------,0,1,1,2,2,4,6,2,2,2
544,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,1,1,2,4,1,3,2,1,3,99
545,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,2,1,1,3,2,3,2,2,2,3
546,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,1,1,2,2,3,5,2,2,2
547,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,4,3,2,2,2,2,1,5,2,3
548,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,---1---2---,4,1,2,3,1,3,2,4,2,2
549,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,0,1,1,2,3,4,6,2,1,3
550,NA,NA,NA,2,NA,NA,3,NA,NA,NA,1,---2--3---1,4,1,1,2,1,3,4,2,3,2
551,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,--2-------1,4,1,1,3,2,3,5,2,3,3
552,NA,NA,2,1,NA,NA,NA,3,NA,NA,NA,--21---3---,3,NA,99,NA,99,99,99,99,99,99
553,NA,NA,1,2,NA,NA,NA,3,NA,NA,NA,--12---3---,2,1,1,2,99,3,3,2,3,3
554,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,--2-----1--,1,1,2,4,2,3,2,2,3,3
555,NA,NA,NA,3,NA,NA,2,1,NA,NA,NA,---3--21---,4,1,1,2,2,3,4,3,2,2
556,NA,NA,NA,3,NA,NA,2,1,NA,NA,NA,---3--21---,0,1,1,2,2,4,5,1,2,2
557,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,--1---23---,3,1,1,NA,2,3,3,3,3,3
558,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,1,6,99,NA,1,2,4,1,1,4
559,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,2,6,1,3,1,4,2,99,2,2
560,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,0,1,2,3,1,3,2,1,3,4
561,NA,2,NA,3,NA,NA,NA,1,NA,NA,NA,-2-3---1---,2,4,1,2,1,2,6,4,3,2
562,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,-2-----1---,3,1,1,2,2,2,4,4,1,2
563,1,NA,NA,NA,3,NA,NA,2,NA,NA,NA,1---3--2---,2,4,1,2,3,3,5,4,2,1
564,NA,NA,1,NA,2,NA,NA,NA,3,NA,NA,--1-2---3--,1,1,2,2,4,2,3,2,2,3
565,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,--23-------,0,1,1,4,2,2,3,1,1,3
566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,----------1,4,5,1,2,3,2,1,99,3,3
567,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,-------12--,1,1,2,2,2,3,6,6,2,4
568,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,-------2-31,2,4,1,2,3,1,1,2,2,3
569,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,-----2-1---,4,4,2,3,4,1,4,4,1,99
570,NA,2,NA,NA,NA,NA,3,1,NA,NA,NA,-2----31---,4,1,1,2,4,4,6,5,1,2
571,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12---------,2,5,2,3,4,2,1,99,2,3
572,NA,NA,NA,2,NA,NA,NA,1,NA,NA,3,---2---1--3,0,4,2,3,3,3,3,6,2,3
573,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,1,2,2,3,4,2,2,3,3
574,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,1,2,4,3,2,2,1,2,99
575,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,1,4,2,2,3,2,5,4,2,4
576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,2,1,1,2,2,3,99,3,2,4
577,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,--2----1---,1,1,1,2,4,2,1,2,1,2
578,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3------1---,1,4,1,1,1,2,2,5,1,3
579,NA,3,NA,NA,2,NA,NA,NA,NA,NA,1,-3--2-----1,0,6,1,2,1,3,2,3,1,3
580,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,------2--31,1,1,2,2,2,4,3,5,3,4
581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,----------1,2,1,1,2,2,3,2,2,2,4
582,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,---32--1---,4,1,2,2,4,4,1,3,1,99
583,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,-2-----1---,0,1,2,2,4,3,5,4,1,2
584,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2-----1----,3,1,2,2,3,4,4,2,3,4
585,NA,NA,NA,NA,3,NA,NA,1,2,NA,NA,----3--12--,1,1,1,3,2,3,6,6,1,4
586,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,-------2-13,3,NA,99,NA,99,99,99,99,99,99
587,3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,3---21-----,2,1,2,2,3,4,3,3,2,4
588,NA,NA,NA,2,NA,NA,NA,1,NA,NA,3,---2---1--3,4,4,1,3,3,4,6,4,2,3
589,2,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2----1----3,2,NA,99,NA,99,99,99,99,99,99
590,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2-31-------,1,1,2,2,3,3,3,2,1,3
591,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,------1---2,0,1,1,2,3,3,4,1,2,2
592,NA,NA,3,1,NA,NA,NA,NA,NA,NA,2,--31------2,4,1,2,2,4,3,5,3,1,3
593,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,--2--1-----,2,1,2,2,4,1,2,4,1,3
594,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,4,2,1,2,3,1,3,4,2,3
595,NA,2,3,NA,NA,NA,1,NA,NA,NA,NA,-23---1----,3,1,2,2,3,3,2,3,1,3
596,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1---------3,3,6,2,3,1,3,1,2,2,3
597,1,NA,2,NA,NA,NA,3,NA,NA,NA,NA,1-2---3----,4,6,2,3,1,3,2,3,3,3
598,NA,NA,3,1,NA,NA,NA,2,NA,NA,NA,--31---2---,4,1,2,2,2,4,4,1,2,2
599,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3-21-------,4,1,1,3,1,3,6,2,3,3
600,2,NA,1,NA,NA,NA,NA,3,NA,NA,NA,2-1----3---,2,4,1,2,2,4,3,2,2,2
601,2,NA,1,NA,NA,NA,NA,NA,3,NA,NA,2-1-----3--,0,1,2,2,2,3,4,2,2,3
602,NA,NA,2,NA,NA,NA,NA,1,NA,NA,3,--2----1--3,1,NA,2,2,1,4,3,2,3,3
603,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,132--------,1,6,2,2,3,2,1,4,2,4
604,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,4,1,2,2,1,3,2,2,2,3
605,NA,NA,NA,1,NA,NA,3,NA,NA,NA,2,---1--3---2,0,1,1,2,2,4,3,3,2,2
606,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,2,1,2,4,1,2,1,2,3,3
607,NA,NA,NA,2,NA,NA,NA,3,NA,1,NA,---2---3-1-,0,4,2,2,2,3,6,4,2,3
608,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,--2-1------,1,1,2,2,2,3,2,1,2,3
609,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,--231------,0,NA,99,NA,99,99,99,99,99,99
610,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,-2-----3--1,3,5,1,1,3,2,4,5,1,2
611,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,4,1,2,2,2,3,3,1,2,4
612,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,1,1,1,2,2,3,2,2,1,99
613,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,------1---3,3,1,1,3,3,2,2,3,1,4
614,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,2,4,99,1,1,2,99,3,2,99
615,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,0,6,2,3,1,4,2,2,3,2
616,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,1,1,2,2,3,3,3,1,2,3
617,3,NA,1,NA,NA,NA,NA,NA,2,NA,NA,3-1-----2--,2,1,2,2,2,4,1,3,3,4
618,NA,NA,NA,NA,NA,1,NA,3,2,NA,NA,-----1-32--,0,1,2,4,3,3,2,4,2,4
619,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,--1----2---,2,NA,2,3,1,3,1,2,2,3
620,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3-12-------,0,1,2,2,1,3,1,88,3,3
621,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,2,3,1,3,2,3,2,2,2,3
622,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,--1-3-2----,1,1,1,2,2,2,3,2,99,3
623,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,--13-------,3,3,2,3,1,2,1,4,2,4
624,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,1-23-------,4,1,1,2,1,4,1,2,2,3
625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,3,1,2,3,2,4,5,3,2,3
626,1,NA,3,NA,NA,NA,NA,NA,NA,2,NA,1-3------2-,2,1,1,2,2,3,1,2,2,3
627,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,--2---1----,4,NA,1,3,2,3,4,2,3,4
628,NA,NA,NA,NA,2,3,NA,1,NA,NA,NA,----23-1---,2,3,1,3,2,2,4,6,2,3
629,NA,NA,2,NA,NA,NA,NA,1,NA,NA,3,--2----1--3,0,6,1,2,1,2,1,1,2,1
630,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,---2------1,3,6,2,3,2,2,2,2,2,3
631,2,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2------3--1,3,4,1,3,3,3,6,5,3,3
632,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,--23--1----,4,1,1,2,2,3,4,3,2,3
633,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,0,2,2,2,3,3,1,99,2,3
634,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,---2--1----,1,1,1,2,2,4,6,6,1,3
635,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,4,3,2,2,1,2,2,1,3,4
636,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,--1-2------,1,1,1,2,1,3,1,2,3,3
637,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,--1-2------,0,1,2,2,2,3,1,3,3,99
638,NA,NA,1,NA,NA,NA,2,3,NA,NA,NA,--1---23---,2,6,3,4,1,3,1,1,2,2
639,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,2,1,2,4,2,4,1,1,3,3
640,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1-3---2----,0,6,1,3,99,3,1,3,2,2
641,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,0,1,2,2,2,2,2,2,2,3
642,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,2,2,2,2,2,2,6,1,3,2
643,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,4,1,2,2,2,3,2,2,1,3
644,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,2--1--3----,3,NA,99,NA,99,99,99,99,99,99
645,NA,3,2,NA,NA,NA,1,NA,NA,NA,NA,-32---1----,2,1,1,2,3,3,5,1,2,3
646,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2-1---3----,1,1,2,2,2,4,2,2,2,3
647,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,----2------,4,NA,99,NA,99,99,99,99,99,99
648,1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,1---3-2----,3,NA,2,3,3,3,2,5,1,3
649,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,1,NA,99,NA,99,99,99,99,99,99
650,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,--2-3-1----,3,1,2,2,2,4,4,3,99,2
651,NA,NA,2,NA,NA,NA,3,1,NA,NA,NA,--2---31---,3,3,1,2,2,4,3,3,1,2
652,3,NA,2,NA,NA,NA,1,NA,NA,NA,NA,3-2---1----,2,1,2,2,1,4,1,4,3,99
653,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,----2--3--1,2,4,1,3,3,2,4,6,2,4
654,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,3,1,1,2,1,3,2,2,2,3
655,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,3,3,2,4,1,88,1,88,2,3
656,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1-3---2----,3,5,1,2,2,4,6,3,3,99
657,NA,NA,1,3,NA,NA,NA,NA,NA,2,NA,--13-----2-,4,6,1,3,1,2,1,2,3,3
658,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,2,1,1,4,1,3,4,1,1,3
659,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,4,1,2,2,1,4,1,1,2,3
660,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,------1----,1,1,1,3,2,3,4,3,2,3
661,NA,NA,NA,2,NA,NA,3,1,NA,NA,NA,---2--31---,4,1,1,3,3,4,6,2,1,2
662,NA,2,NA,NA,NA,NA,1,NA,NA,NA,3,-2----1---3,2,1,1,NA,1,3,2,5,1,3
663,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,3,4,2,2,1,3,1,3,2,3
664,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,0,1,1,4,1,2,1,1,3,3
665,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,--31--2----,3,1,2,2,2,4,6,3,2,3
666,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,1,3,2,2,1,4,2,2,3,99
667,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1----------,1,1,2,2,1,3,1,2,1,99
668,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,--1---3---2,1,2,1,2,2,3,2,1,2,4
669,NA,NA,2,NA,NA,NA,NA,1,NA,NA,3,--2----1--3,4,NA,1,2,3,88,3,88,2,1
670,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,3,1,2,3,1,3,3,1,3,4
671,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,----2--1---,2,2,1,2,2,4,4,4,1,2
672,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,1,5,2,2,1,2,1,2,2,3
673,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,1,2,2,1,3,2,2,2,4
674,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3-2--------,3,2,1,1,3,2,2,1,3,3
675,3,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3-2-1------,1,1,1,2,2,3,2,3,2,3
676,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,2,1,2,4,1,3,1,2,2,2
677,1,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1------2--3,3,NA,99,NA,99,99,99,99,99,99
678,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,4,3,1,3,2,2,2,3,3,3
679,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,23-----1---,1,NA,99,NA,99,99,99,99,99,99
680,NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,-21---3----,2,1,2,2,3,3,6,3,2,4
681,NA,NA,NA,NA,2,NA,3,NA,NA,NA,1,----2-3---1,2,1,1,2,99,4,2,3,3,3
682,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,----1-----2,1,1,1,NA,1,3,2,4,3,2
683,NA,NA,3,NA,2,NA,NA,1,NA,NA,NA,--3-2--1---,1,2,1,NA,3,4,3,4,1,1
684,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,4,3,2,2,1,3,1,2,1,3
685,1,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1----32----,4,NA,1,3,3,2,99,99,99,99
686,NA,NA,3,1,NA,2,NA,NA,NA,NA,NA,--31-2-----,4,2,1,2,3,2,2,3,2,3
687,1,NA,2,NA,NA,NA,3,NA,NA,NA,NA,1-2---3----,2,1,2,2,3,2,1,1,88,3
688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,3,1,1,2,99,2,1,1,2,4
689,NA,NA,2,NA,NA,NA,1,3,NA,NA,NA,--2---13---,2,1,1,2,3,4,88,3,99,3
690,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,32--1------,0,NA,99,NA,99,99,99,99,99,99
691,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,--2-1------,4,3,1,3,2,3,3,2,1,3
692,NA,NA,2,NA,NA,NA,NA,1,NA,NA,3,--2----1--3,0,1,1,2,1,3,3,2,2,2
693,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,--2-1------,0,3,2,2,2,3,5,2,3,3
694,1,NA,NA,2,NA,NA,3,NA,NA,NA,NA,1--2--3----,1,1,2,2,2,4,5,3,1,2
695,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,------2---1,4,2,2,2,99,4,1,1,99,4
696,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,4,NA,1,2,1,3,2,3,2,3
697,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,2-1---3----,3,1,1,4,3,2,1,1,3,4
698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-----------,0,1,2,2,1,3,2,2,3,3
699,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,2-1-3------,0,1,1,2,1,3,3,3,3,4
700,NA,NA,2,NA,1,NA,3,NA,NA,NA,NA,--2-1-3----,2,3,1,2,2,4,6,2,1,1
701,2,NA,NA,NA,NA,NA,1,3,NA,NA,NA,2-----13---,0,1,2,3,1,3,2,2,2,3
