unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
1469,1,NA,NA,NA,1---,1,35,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
1470,1,NA,NA,NA,1---,1,65,0,0,1,1,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"60,000-69,999",0,0,1
1471,1,NA,NA,NA,1---,1,27,1,0,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,0,1,0,0,0,"20,000-29,999",0,0,1
1472,1,NA,NA,NA,1---,4,56,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
1473,1,NA,NA,NA,1---,1,36,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
1474,1,NA,NA,NA,1---,1,30,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
1475,1,NA,NA,NA,1---,2,30,0,1,0,0,male,0,Class 8,0,0,1,0,0,0,1,0,0,1,"10,000-14,999",0,1,0
1476,1,NA,NA,NA,1---,2,40,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
1477,1,NA,NA,NA,1---,2,29,0,1,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"40,000-49,999",0,0,1
1478,4,NA,NA,NA,4---,3,21,1,0,0,0,female,1,Class 8,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
1479,1,NA,NA,NA,1---,3,32,0,1,0,0,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"5,000-9,999",0,1,0
1480,1,NA,NA,NA,1---,2,18,1,0,0,0,male,0,Class 11,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
1481,1,NA,NA,NA,1---,2,20,1,0,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"30,000-39,999",0,0,1
1482,1,NA,NA,NA,1---,0,52,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"15,000-19,999",0,0,1
1483,1,NA,NA,NA,1---,4,22,1,0,0,0,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"10,000-14,999",0,1,0
1484,1,NA,NA,NA,1---,2,29,0,1,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,1,"2500-4,999",1,0,0
1485,1,NA,NA,NA,1---,4,51,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"20,000-29,999",0,0,1
1486,1,NA,NA,NA,1---,3,30,0,1,0,0,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
1487,1,NA,NA,NA,1---,3,40,0,1,0,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
1488,1,NA,NA,NA,1---,1,80,0,0,1,1,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
1489,1,NA,NA,NA,1---,2,20,1,0,0,0,female,1,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"50,000-59,999",0,0,1
1490,1,NA,NA,NA,1---,3,30,0,1,0,0,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"30,000-39,999",0,0,1
1491,2,NA,NA,NA,2---,3,49,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
1492,4,NA,NA,NA,4---,4,22,1,0,0,0,male,0,Some college,1,0,0,1,0,0,1,0,0,0,"20,000-29,999",0,0,1
1493,1,NA,NA,NA,1---,2,30,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
1494,1,NA,NA,NA,1---,3,38,0,1,0,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"15,000-19,999",0,0,1
1495,1,NA,NA,NA,1---,1,45,0,1,0,1,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
1496,1,NA,NA,NA,1---,4,25,1,0,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
1497,1,NA,NA,NA,1---,1,52,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
1498,1,NA,NA,NA,1---,1,74,0,0,1,1,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,1,"20,000-29,999",0,0,1
