unit,defense,economicdevelopment,socialstability,democracy,corruption,incomeinequality,environment,ranking,treat,historical,powerful,valuable,island,age,income,han,male,eastern,central,rural,college,soe,ccp,socialstatus,news
1790,7,NA,NA,NA,NA,NA,NA,7------,2,0,1,0,0,41,1,1,0,1,0,0,1,1,0,7,4
1791,2,NA,NA,NA,NA,NA,NA,2------,7,1,1,1,0,39,4,1,1,0,0,0,1,1,0,4,3
1792,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,34,3,1,1,1,0,0,1,0,0,3,3
1793,5,NA,NA,NA,NA,NA,NA,5------,12,0,0,1,1,45,5,1,0,1,0,0,1,1,0,9,3
1794,7,NA,NA,NA,NA,NA,NA,7------,6,0,1,1,0,23,4,1,1,1,0,0,1,1,0,6,3
1795,3,NA,NA,NA,NA,NA,NA,3------,3,1,1,0,0,38,4,1,1,1,0,0,0,1,0,6,4
1796,7,NA,NA,NA,NA,NA,NA,7------,7,1,1,1,0,33,6,1,1,1,0,0,1,1,1,2,3
1797,3,NA,NA,NA,NA,NA,NA,3------,2,0,1,0,0,30,3,1,1,1,0,0,0,0,0,3,2
1798,3,NA,NA,NA,NA,NA,NA,3------,1,1,0,0,0,45,5,1,1,1,0,0,1,1,1,9,3
1799,4,NA,NA,NA,NA,NA,NA,4------,8,0,0,0,1,29,4,1,1,1,0,1,0,0,0,5,4
1800,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,30,5,1,1,0,0,0,1,0,1,10,4
1801,7,NA,NA,NA,NA,NA,NA,7------,15,1,1,1,1,32,6,1,0,1,0,0,1,0,1,9,4
1802,7,NA,NA,NA,NA,NA,NA,7------,11,1,1,0,1,39,5,1,1,1,0,0,1,1,0,6,3
1803,3,NA,NA,NA,NA,NA,NA,3------,6,0,1,1,0,20,4,1,1,0,1,0,0,0,0,7,1
1804,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,34,2,1,0,0,1,1,1,1,0,5,3
1805,4,NA,NA,NA,NA,NA,NA,4------,7,1,1,1,0,27,4,1,1,1,0,0,1,0,0,3,3
1806,3,NA,NA,NA,NA,NA,NA,3------,0,0,0,0,0,26,NA,1,0,1,0,1,1,0,0,5,2
1807,5,NA,NA,NA,NA,NA,NA,5------,6,0,1,1,0,24,NA,1,0,0,1,1,0,0,0,5,3
