unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
248,2,1,4,3,5,7,6,2143576,3,2,1,58,4,4,1
249,6,3,1,2,5,4,7,6312547,0,1,0,67,6,6,1
250,4,3,5,1,6,2,7,4351627,0,1,0,66,3,5,1
251,2,1,5,3,7,4,6,2153746,0,2,0,58,4,4,1
252,2,4,7,6,3,1,5,2476315,0,1,0,58,5,6,1
253,3,2,1,7,5,4,6,3217546,3,1,0,53,7,2,1
254,2,6,7,5,3,1,4,2675314,3,1,1,51,3,6,1
255,7,5,1,4,6,2,3,7514623,0,1,1,40,5,4,1
256,2,3,NA,NA,NA,1,NA,23---1-,0,2,1,63,3,6,1
257,1,5,7,6,3,2,4,1576324,0,1,0,49,2,6,1
258,5,6,4,3,2,1,7,5643217,2,1,1,85,3,4,1
259,2,1,5,6,4,3,7,2156437,3,2,1,73,3,4,1
260,6,3,7,1,4,5,2,6371452,1,2,1,65,3,4,1
261,2,5,7,6,3,1,4,2576314,1,1,1,63,5,4,1
262,5,2,7,4,3,1,6,5274316,2,1,0,62,3,4,1
263,NA,NA,NA,NA,NA,NA,NA,-------,2,1,0,44,3,5,1
264,4,1,3,2,7,5,6,4132756,0,2,1,20,4,6,1
265,2,5,6,7,4,1,3,2567413,3,1,1,68,3,6,1
266,1,5,3,4,6,2,7,1534627,1,2,1,47,7,5,1
267,2,4,5,1,7,3,6,2451736,2,1,1,18,1,4,1
268,NA,NA,NA,NA,NA,NA,NA,-------,2,1,0,55,3,6,1
269,3,5,2,4,6,7,1,3524671,0,2,1,72,3,4,1
270,2,5,7,6,4,1,3,2576413,3,1,1,61,5,6,1
271,1,3,7,6,5,2,4,1376524,1,2,0,72,4,6,1
272,2,3,4,5,6,1,7,2345617,1,1,0,56,5,4,1
273,7,2,1,3,5,6,4,7213564,1,2,0,46,2,4,1
274,2,3,1,5,4,7,6,2315476,1,2,1,65,4,4,1
275,4,5,7,6,2,1,3,4576213,2,1,1,29,3,4,1
276,2,3,7,6,5,1,4,2376514,3,1,1,19,2,1,1
277,3,1,2,6,5,7,4,3126574,1,2,1,59,6,4,1
278,2,3,7,4,6,1,5,2374615,0,1,1,35,4,4,1
279,2,4,7,6,5,1,3,2476513,0,1,0,34,5,3,1
280,3,2,1,6,4,7,5,3216475,2,1,0,46,2,4,1
281,2,5,7,6,3,1,4,2576314,1,2,0,70,3,6,1
282,1,3,7,4,5,2,6,1374526,0,2,1,55,3,3,1
283,2,3,7,6,4,1,5,2376415,1,1,0,49,7,7,1
284,1,2,5,4,7,3,6,1254736,3,1,1,48,3,2,1
285,1,4,5,3,6,2,7,1453627,1,1,1,77,3,6,1
286,4,2,7,6,5,1,3,4276513,1,1,1,19,4,7,1
287,4,1,2,3,7,6,5,4123765,1,1,0,44,6,6,1
288,NA,NA,NA,NA,NA,NA,NA,-------,2,2,0,50,4,6,1
289,2,5,7,6,3,1,4,2576314,1,2,1,70,3,4,1
290,2,5,7,6,3,1,4,2576314,3,2,0,63,4,5,1
291,3,2,5,4,6,1,7,3254617,3,2,0,20,2,7,1
292,2,4,7,1,3,5,6,2471356,0,2,0,33,4,2,1
293,3,5,6,7,2,1,4,3567214,3,1,0,40,3,5,1
294,2,6,7,3,4,1,5,2673415,2,2,1,44,3,6,1
295,2,5,7,4,3,1,6,2574316,2,1,1,57,4,4,1
296,7,3,2,5,6,4,1,7325641,0,2,1,32,4,7,1
297,7,5,2,4,3,1,6,7524316,0,2,1,25,6,5,1
298,1,2,6,7,4,3,5,1267435,1,2,0,67,7,6,1
299,1,3,7,6,5,2,4,1376524,1,1,0,40,4,5,1
300,5,2,1,4,3,7,6,5214376,0,2,0,22,3,7,1
301,1,5,7,6,4,3,2,1576432,3,1,1,43,7,5,1
302,2,6,7,5,3,1,4,2675314,0,2,0,51,3,6,1
303,3,6,7,4,2,1,5,3674215,2,2,0,33,4,5,1
304,3,5,7,6,2,1,4,3576214,2,1,1,21,4,4,1
305,4,5,7,6,2,1,3,4576213,3,1,1,33,4,4,1
