unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohafaza,caza,q5,q6,q7,q8,q9,q10,q11,q13,q14a,q14b,q15b,q16,q17,q18,q19a,q19b,q19c,q19d,q21,q22,q23a,q23b,q23c,q23d,q36a,q36b,q36c,q36d,q37a,q37b,q37c,q37d,q38a,q38b,q38c,q38d,q39a,q39b,q39c,q39d,q40,q41,q42,q43
1108,NA,NA,NA,NA,NA,NA,------,3,2,4,0,31,1,5,1,5,0,11,8,2014,1,1,1,1,-98,-98,-98,-98,4,3,2,3,3,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1109,NA,NA,NA,NA,NA,NA,------,0,2,4,0,39,1,5,2,5,0,11,5,2011,1,1,1,1,-98,-98,-98,-98,4,2,2,3,2,-98,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110,NA,NA,NA,NA,NA,NA,------,3,2,4,1,30,1,3,1,5,0,11,9,2012,1,1,1,1,-98,-98,-98,4,4,-98,2,3,2,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1111,NA,1,NA,NA,NA,2,-1---2,0,2,4,0,51,2,10,3,2,0,11,8,2013,1,1,5,1,1,1,1,3,4,4,2,3,3,-98,1,-99,1,-99,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1112,NA,NA,NA,NA,NA,NA,------,1,2,4,0,34,1,3,1,5,0,11,8,2013,1,1,5,1,1,1,1,4,4,-99,2,3,3,-98,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,0,0,-99,-99,1,-99,NA,NA,NA,NA
1113,NA,NA,NA,NA,NA,NA,------,0,2,4,0,34,3,4,1,5,0,11,8,2013,1,1,5,1,1,1,1,4,4,3,2,3,2,2,-99,-99,1,-99,-99,-99,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1114,NA,NA,NA,NA,NA,NA,------,1,2,4,0,49,2,6,2,7,0,14,7,2013,1,1,5,1,1,1,1,3,4,3,2,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,0,0,1,-99,1,-99,NA,NA,NA,NA
1115,NA,2,NA,NA,1,NA,-2--1-,1,3,12,1,25,2,8,4,4,2,11,6,2011,3,1,1,1,1,1,1,3,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
1116,NA,1,NA,NA,NA,2,-1---2,3,3,12,0,55,3,11,3,10,2,6,5,2012,1,1,5,3,3,3,4,3,4,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
1117,NA,2,NA,NA,1,NA,-2--1-,0,3,12,1,19,2,6,2,5,1,11,11,2011,3,1,1,1,1,1,2,3,2,4,-98,-98,-98,2,1,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
