unit,leftist,rightist,quo,ranking,treat,wave,issue
294,1,2,3,123,1,2010,educ
295,3,1,2,312,1,2010,educ
296,1,3,2,132,1,2010,educ
297,3,1,2,312,0,2010,educ
298,3,1,2,312,1,2010,educ
299,1,2,3,123,1,2010,educ
300,2,1,3,213,0,2010,educ
301,3,1,2,312,0,2010,educ
302,2,3,1,231,0,2010,educ
303,2,1,3,213,0,2010,educ
304,2,1,3,213,1,2010,educ
305,1,2,3,123,0,2010,educ
306,3,1,2,312,1,2010,educ
307,3,1,2,312,0,2010,educ
308,1,2,3,123,1,2010,educ
309,1,3,2,132,0,2010,educ
310,3,1,2,312,0,2010,educ
311,3,1,2,312,0,2010,educ
312,1,3,2,132,1,2010,educ
313,1,3,2,132,1,2010,educ
314,3,1,2,312,0,2010,educ
315,3,1,2,312,1,2010,educ
316,3,1,2,312,0,2010,educ
317,1,2,3,123,1,2010,educ
318,3,1,2,312,1,2010,educ
319,3,1,2,312,0,2010,educ
320,3,1,2,312,1,2010,educ
321,3,1,2,312,0,2010,educ
322,2,1,3,213,0,2010,educ
323,3,1,2,312,0,2010,educ
324,3,1,2,312,1,2010,educ
325,1,3,2,132,1,2010,educ
326,3,1,2,312,0,2010,educ
327,3,1,2,312,0,2010,educ
328,1,3,2,132,0,2010,educ
329,1,2,3,123,1,2010,educ
330,1,3,2,132,1,2010,educ
331,1,3,2,132,1,2010,educ
332,2,1,3,213,0,2010,educ
333,1,3,2,132,0,2010,educ
334,1,3,2,132,1,2010,educ
335,2,1,3,213,0,2010,educ
336,1,3,2,132,1,2010,educ
337,1,3,2,132,1,2010,educ
338,1,3,2,132,0,2010,educ
339,3,1,2,312,0,2010,educ
340,1,2,3,123,1,2010,educ
341,3,1,2,312,1,2010,educ
342,2,3,1,231,1,2010,educ
343,3,1,2,312,0,2010,educ
344,3,2,1,321,1,2010,educ
345,3,1,2,312,1,2010,educ
346,2,3,1,231,0,2010,educ
347,1,3,2,132,0,2010,educ
348,1,3,2,132,1,2010,educ
349,1,3,2,132,1,2010,educ
350,1,2,3,123,1,2010,educ
351,3,1,2,312,1,2010,educ
352,2,1,3,213,1,2010,educ
353,1,3,2,132,1,2010,educ
354,3,2,1,321,0,2010,educ
355,1,3,2,132,0,2010,educ
356,2,1,3,213,1,2010,educ
357,1,2,3,123,0,2010,educ
358,3,1,2,312,0,2010,educ
359,3,1,2,312,1,2010,educ
360,3,1,2,312,1,2010,educ
361,1,2,3,123,0,2010,educ
362,1,3,2,132,1,2010,educ
363,3,1,2,312,1,2010,educ
364,1,2,3,123,1,2010,educ
365,3,1,2,312,1,2010,educ
366,1,2,3,123,0,2010,educ
367,3,2,1,321,0,2010,educ
368,1,3,2,132,1,2010,educ
369,1,2,3,123,1,2010,educ
370,1,3,2,132,0,2010,educ
371,1,3,2,132,0,2010,educ
372,3,1,2,312,1,2010,educ
373,1,3,2,132,1,2010,educ
374,1,2,3,123,1,2010,educ
375,1,2,3,123,1,2010,educ
376,1,3,2,132,0,2010,educ
377,3,1,2,312,1,2010,educ
378,3,1,2,312,1,2010,educ
379,3,1,2,312,0,2010,educ
380,3,1,2,312,0,2010,educ
381,3,1,2,312,0,2010,educ
382,1,3,2,132,1,2010,educ
383,3,1,2,312,1,2010,educ
384,1,3,2,132,0,2010,educ
385,1,3,2,132,1,2010,educ
386,2,1,3,213,1,2010,educ
387,3,1,2,312,1,2010,educ
388,2,3,1,231,1,2010,educ
389,1,3,2,132,0,2010,educ
390,3,1,2,312,0,2010,educ
391,1,3,2,132,0,2010,educ
392,1,3,2,132,0,2010,educ
393,1,3,2,132,1,2010,educ
394,1,3,2,132,0,2010,educ
395,1,3,2,132,0,2010,educ
396,3,1,2,312,0,2010,educ
397,1,3,2,132,1,2010,educ
398,3,1,2,312,1,2010,educ
399,3,1,2,312,1,2010,educ
400,1,2,3,123,1,2010,educ
401,1,2,3,123,1,2010,educ
402,3,1,2,312,0,2010,educ
403,3,1,2,312,0,2010,educ
404,1,3,2,132,0,2010,educ
405,3,2,1,321,0,2010,educ
406,3,1,2,312,1,2010,educ
407,1,3,2,132,1,2010,educ
408,3,1,2,312,0,2010,educ
409,2,3,1,231,0,2010,educ
410,1,3,2,132,0,2010,educ
411,1,2,3,123,0,2010,educ
412,3,1,2,312,1,2010,educ
413,1,2,3,123,0,2010,educ
414,2,1,3,213,1,2010,educ
415,3,2,1,321,0,2010,educ
416,1,3,2,132,0,2010,educ
417,1,3,2,132,1,2010,educ
418,1,2,3,123,0,2010,educ
419,3,1,2,312,1,2010,educ
420,3,1,2,312,1,2010,educ
421,3,1,2,312,0,2010,educ
422,2,3,1,231,0,2010,educ
423,3,1,2,312,1,2010,educ
424,1,3,2,132,1,2010,educ
425,3,1,2,312,0,2010,educ
426,3,1,2,312,0,2010,educ
427,1,3,2,132,1,2010,educ
428,2,1,3,213,1,2010,educ
429,3,1,2,312,1,2010,educ
430,3,1,2,312,1,2010,educ
431,3,1,2,312,0,2010,educ
432,2,1,3,213,0,2010,educ
433,3,1,2,312,1,2010,educ
434,1,3,2,132,1,2010,educ
435,2,3,1,231,0,2010,educ
436,3,1,2,312,1,2010,educ
437,2,1,3,213,1,2010,educ
438,1,3,2,132,1,2010,educ
439,2,3,1,231,0,2010,educ
440,3,1,2,312,0,2010,educ
441,3,1,2,312,1,2010,educ
442,2,3,1,231,0,2010,educ
443,2,3,1,231,0,2010,educ
444,1,3,2,132,1,2010,educ
445,1,2,3,123,1,2010,educ
446,3,1,2,312,0,2010,educ
447,1,3,2,132,1,2010,educ
448,1,2,3,123,0,2010,educ
449,1,3,2,132,0,2010,educ
450,1,3,2,132,1,2010,educ
451,3,1,2,312,0,2010,educ
452,1,3,2,132,0,2010,educ
453,3,1,2,312,0,2010,educ
454,3,1,2,312,0,2010,educ
455,2,1,3,213,1,2010,educ
456,3,1,2,312,0,2010,educ
457,1,3,2,132,0,2010,educ
458,1,3,2,132,1,2010,educ
459,3,1,2,312,0,2010,educ
460,3,1,2,312,1,2010,educ
461,2,1,3,213,0,2010,educ
462,1,3,2,132,0,2010,educ
463,3,2,1,321,1,2010,educ
464,3,1,2,312,0,2010,educ
465,3,1,2,312,1,2010,educ
466,1,3,2,132,0,2010,educ
467,1,3,2,132,0,2010,educ
468,3,1,2,312,1,2010,educ
469,3,2,1,321,1,2010,educ
470,3,1,2,312,0,2010,educ
471,1,3,2,132,0,2010,educ
472,3,2,1,321,0,2010,educ
473,2,3,1,231,1,2010,educ
474,1,3,2,132,1,2010,educ
475,1,2,3,123,0,2010,educ
476,1,2,3,123,0,2010,educ
477,3,1,2,312,1,2010,educ
478,3,1,2,312,1,2010,educ
479,3,1,2,312,0,2010,educ
480,1,3,2,132,1,2010,educ
481,2,1,3,213,0,2010,educ
482,1,3,2,132,0,2010,educ
483,3,1,2,312,1,2010,educ
484,1,3,2,132,1,2010,educ
485,3,1,2,312,0,2010,educ
486,1,3,2,132,1,2010,educ
487,1,3,2,132,0,2010,educ
488,3,1,2,312,0,2010,educ
489,3,1,2,312,1,2010,educ
490,3,1,2,312,1,2010,educ
491,2,1,3,213,1,2010,educ
492,1,3,2,132,0,2010,educ
493,3,1,2,312,0,2010,educ
494,1,2,3,123,1,2010,educ
495,3,1,2,312,1,2010,educ
496,1,3,2,132,0,2010,educ
497,1,3,2,132,0,2010,educ
498,2,3,1,231,0,2010,educ
499,1,2,3,123,1,2010,educ
500,3,1,2,312,0,2010,educ
501,1,3,2,132,1,2010,educ
502,3,1,2,312,1,2010,educ
503,1,2,3,123,0,2010,educ
504,2,3,1,231,1,2010,educ
505,3,1,2,312,1,2010,educ
506,2,3,1,231,1,2010,educ
507,1,2,3,123,1,2010,educ
508,3,1,2,312,1,2010,educ
509,3,1,2,312,1,2010,educ
510,3,1,2,312,0,2010,educ
511,1,2,3,123,1,2010,educ
512,3,1,2,312,0,2010,educ
513,3,1,2,312,1,2010,educ
514,2,1,3,213,0,2010,educ
515,3,1,2,312,1,2010,educ
516,3,1,2,312,0,2010,educ
517,1,3,2,132,1,2010,educ
518,2,3,1,231,0,2010,educ
519,1,3,2,132,1,2010,educ
520,3,1,2,312,0,2010,educ
521,3,1,2,312,0,2010,educ
522,1,3,2,132,1,2010,educ
523,2,1,3,213,0,2010,educ
524,1,3,2,132,1,2010,educ
525,1,2,3,123,0,2010,educ
526,3,1,2,312,0,2010,educ
527,2,1,3,213,0,2010,educ
528,1,3,2,132,1,2010,educ
529,3,2,1,321,1,2010,educ
530,3,1,2,312,1,2010,educ
531,1,3,2,132,0,2010,educ
532,3,1,2,312,1,2010,educ
533,3,1,2,312,0,2010,educ
534,3,2,1,321,0,2010,educ
535,3,1,2,312,1,2010,educ
536,1,3,2,132,0,2010,educ
537,3,1,2,312,1,2010,educ
538,3,1,2,312,0,2010,educ
539,3,1,2,312,0,2010,educ
540,3,1,2,312,1,2010,educ
541,1,3,2,132,0,2010,educ
542,3,1,2,312,1,2010,educ
543,1,3,2,132,1,2010,educ
544,1,3,2,132,0,2010,educ
545,2,1,3,213,1,2010,educ
546,3,1,2,312,1,2010,educ
547,3,1,2,312,1,2010,educ
548,1,3,2,132,1,2010,educ
549,1,3,2,132,0,2010,educ
550,3,1,2,312,0,2010,educ
551,1,2,3,123,0,2010,educ
552,3,1,2,312,0,2010,educ
553,2,3,1,231,1,2010,educ
554,2,3,1,231,1,2010,educ
555,3,1,2,312,1,2010,educ
556,1,2,3,123,1,2010,educ
557,1,2,3,123,1,2010,educ
558,3,1,2,312,0,2010,educ
559,3,1,2,312,1,2010,educ
560,3,1,2,312,0,2010,educ
561,3,1,2,312,1,2010,educ
562,3,1,2,312,0,2010,educ
563,1,3,2,132,1,2010,educ
564,3,1,2,312,1,2010,educ
565,3,1,2,312,1,2010,educ
566,2,3,1,231,0,2010,educ
567,3,1,2,312,0,2010,educ
568,3,1,2,312,1,2010,educ
569,3,1,2,312,1,2010,educ
570,3,1,2,312,0,2010,educ
571,3,1,2,312,0,2010,educ
572,3,1,2,312,0,2010,educ
573,3,1,2,312,1,2010,educ
574,3,1,2,312,1,2010,educ
575,1,3,2,132,0,2010,educ
576,3,1,2,312,1,2010,educ
577,3,1,2,312,0,2010,educ
578,1,3,2,132,1,2010,educ
579,1,3,2,132,0,2010,educ
580,3,1,2,312,1,2010,educ
581,3,1,2,312,1,2010,educ
582,1,2,3,123,1,2010,educ
583,1,3,2,132,0,2010,educ
584,3,1,2,312,1,2010,educ
585,3,2,1,321,0,2010,educ
586,3,2,1,321,0,2010,educ
587,3,2,1,321,0,2010,educ
588,1,3,2,132,1,2010,educ
589,3,1,2,312,1,2010,educ
590,3,1,2,312,1,2010,educ
591,1,2,3,123,1,2010,educ
592,1,3,2,132,0,2010,educ
593,1,3,2,132,0,2010,educ
594,3,1,2,312,0,2010,educ
595,3,1,2,312,1,2010,educ
596,1,3,2,132,1,2010,educ
597,3,1,2,312,1,2010,educ
598,1,2,3,123,0,2010,educ
599,3,1,2,312,1,2010,educ
600,1,3,2,132,0,2010,educ
601,3,1,2,312,1,2010,educ
602,1,3,2,132,1,2010,educ
603,3,1,2,312,1,2010,educ
604,1,3,2,132,1,2010,educ
605,1,3,2,132,1,2010,educ
606,1,3,2,132,1,2010,educ
607,1,3,2,132,1,2010,educ
608,3,1,2,312,0,2010,educ
609,3,1,2,312,0,2010,educ
610,1,3,2,132,0,2010,educ
611,3,1,2,312,1,2010,educ
612,1,3,2,132,1,2010,educ
613,1,3,2,132,1,2010,educ
614,1,3,2,132,0,2010,educ
615,3,1,2,312,1,2010,educ
616,1,3,2,132,0,2010,educ
617,3,1,2,312,1,2010,educ
618,1,3,2,132,0,2010,educ
619,1,3,2,132,0,2010,educ
620,3,1,2,312,0,2010,educ
621,1,2,3,123,1,2010,educ
622,1,3,2,132,0,2010,educ
623,1,3,2,132,1,2010,educ
624,3,1,2,312,1,2010,educ
625,3,1,2,312,0,2010,educ
626,2,3,1,231,0,2010,educ
627,2,3,1,231,0,2010,educ
628,1,2,3,123,1,2010,educ
629,3,1,2,312,0,2010,educ
630,3,1,2,312,1,2010,educ
631,1,3,2,132,0,2010,educ
632,3,1,2,312,1,2010,educ
633,2,3,1,231,1,2010,educ
634,3,1,2,312,1,2010,educ
635,2,3,1,231,0,2010,educ
636,3,1,2,312,1,2010,educ
637,3,1,2,312,0,2010,educ
638,3,1,2,312,0,2010,educ
639,3,1,2,312,0,2010,educ
640,3,1,2,312,0,2010,educ
641,1,2,3,123,0,2010,educ
642,1,3,2,132,0,2010,educ
643,1,3,2,132,0,2010,educ
644,3,1,2,312,0,2010,educ
645,2,1,3,213,1,2010,educ
646,2,3,1,231,0,2010,educ
647,3,1,2,312,0,2010,educ
648,1,3,2,132,1,2010,educ
649,3,1,2,312,1,2010,educ
650,1,2,3,123,0,2010,educ
651,1,3,2,132,0,2010,educ
652,1,3,2,132,0,2010,educ
653,3,2,1,321,0,2010,educ
654,1,3,2,132,1,2010,educ
655,1,2,3,123,1,2010,educ
656,1,3,2,132,1,2010,educ
657,1,3,2,132,1,2010,educ
658,1,3,2,132,0,2010,educ
659,3,1,2,312,1,2010,educ
660,1,2,3,123,0,2010,educ
661,1,3,2,132,0,2010,educ
662,1,2,3,123,1,2010,educ
663,1,3,2,132,0,2010,educ
664,1,2,3,123,1,2010,educ
665,3,1,2,312,0,2010,educ
666,2,1,3,213,0,2010,educ
667,3,1,2,312,1,2010,educ
668,2,1,3,213,0,2010,educ
669,3,1,2,312,1,2010,educ
670,2,3,1,231,0,2010,educ
671,3,1,2,312,1,2010,educ
672,3,1,2,312,0,2010,educ
673,1,3,2,132,0,2010,educ
674,3,2,1,321,0,2010,educ
675,3,1,2,312,1,2010,educ
676,3,1,2,312,1,2010,educ
677,3,1,2,312,0,2010,educ
678,1,3,2,132,1,2010,educ
679,2,1,3,213,1,2010,educ
680,3,1,2,312,0,2010,educ
681,2,3,1,231,0,2010,educ
682,1,2,3,123,0,2010,educ
683,1,3,2,132,1,2010,educ
684,1,3,2,132,0,2010,educ
685,3,1,2,312,1,2010,educ
686,3,1,2,312,1,2010,educ
687,1,3,2,132,0,2010,educ
688,2,3,1,231,0,2010,educ
689,2,1,3,213,1,2010,educ
690,3,1,2,312,0,2010,educ
691,1,3,2,132,0,2010,educ
692,3,1,2,312,1,2010,educ
693,3,1,2,312,0,2010,educ
694,3,1,2,312,1,2010,educ
695,3,2,1,321,0,2010,educ
696,3,1,2,312,0,2010,educ
697,3,1,2,312,1,2010,educ
698,2,1,3,213,0,2010,educ
699,3,1,2,312,1,2010,educ
700,3,1,2,312,1,2010,educ
701,3,1,2,312,0,2010,educ
702,3,1,2,312,0,2010,educ
703,1,3,2,132,1,2010,educ
704,1,3,2,132,0,2010,educ
705,1,3,2,132,1,2010,educ
706,2,3,1,231,1,2010,educ
707,3,1,2,312,0,2010,educ
708,3,1,2,312,0,2010,educ
709,3,1,2,312,1,2010,educ
710,1,3,2,132,1,2010,educ
711,3,1,2,312,0,2010,educ
712,1,3,2,132,1,2010,educ
713,3,1,2,312,1,2010,educ
714,1,3,2,132,1,2010,educ
715,3,1,2,312,0,2010,educ
716,3,1,2,312,0,2010,educ
717,1,2,3,123,1,2010,educ
718,3,1,2,312,1,2010,educ
719,3,1,2,312,0,2010,educ
720,1,3,2,132,1,2010,educ
721,1,3,2,132,1,2010,educ
722,3,1,2,312,0,2010,educ
723,1,3,2,132,0,2010,educ
724,1,2,3,123,0,2010,educ
725,3,1,2,312,0,2010,educ
726,1,3,2,132,0,2010,educ
727,1,3,2,132,0,2010,educ
728,3,1,2,312,0,2010,educ
729,3,2,1,321,0,2010,educ
730,1,3,2,132,0,2010,educ
731,3,1,2,312,0,2010,educ
732,1,3,2,132,1,2010,educ
733,1,2,3,123,0,2010,educ
734,1,3,2,132,0,2010,educ
735,1,3,2,132,1,2010,educ
736,3,1,2,312,0,2010,educ
737,1,3,2,132,1,2010,educ
738,1,3,2,132,1,2010,educ
739,3,2,1,321,1,2010,educ
740,3,1,2,312,1,2010,educ
741,3,1,2,312,1,2010,educ
742,3,1,2,312,0,2010,educ
743,2,1,3,213,0,2010,educ
744,3,1,2,312,1,2010,educ
745,3,1,2,312,0,2010,educ
746,1,2,3,123,0,2010,educ
747,3,1,2,312,0,2010,educ
748,1,3,2,132,1,2010,educ
749,1,3,2,132,1,2010,educ
750,2,3,1,231,1,2010,educ
751,1,2,3,123,1,2010,educ
752,3,1,2,312,0,2010,educ
753,2,1,3,213,1,2010,educ
754,3,1,2,312,0,2010,educ
755,2,1,3,213,0,2010,educ
756,3,1,2,312,0,2010,educ
757,3,2,1,321,0,2010,educ
758,3,1,2,312,1,2010,educ
759,1,3,2,132,0,2010,educ
760,3,1,2,312,0,2010,educ
761,3,1,2,312,1,2010,educ
762,3,1,2,312,1,2010,educ
763,3,1,2,312,1,2010,educ
764,1,3,2,132,1,2010,educ
765,3,1,2,312,1,2010,educ
766,1,3,2,132,1,2010,educ
767,3,1,2,312,0,2010,educ
768,2,1,3,213,1,2010,educ
769,3,1,2,312,0,2010,educ
770,3,1,2,312,1,2010,educ
771,1,3,2,132,0,2010,educ
772,3,1,2,312,1,2010,educ
