unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
12,1,NA,NA,NA,1---,0,47,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
13,1,NA,NA,NA,1---,0,20,1,0,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
14,3,NA,NA,NA,3---,1,65,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
15,1,NA,NA,NA,1---,0,55,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
16,4,NA,NA,NA,4---,0,20,1,0,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"0-2,499",1,0,0
17,1,NA,NA,NA,1---,0,66,0,0,1,1,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
18,1,NA,NA,NA,1---,0,52,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"0-2,499",1,0,0
19,1,NA,NA,NA,1---,1,62,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
20,1,NA,NA,NA,1---,1,42,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
21,2,NA,NA,NA,2---,0,50,0,0,1,1,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
22,2,NA,NA,NA,2---,0,48,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"30,000-39,999",0,0,1
23,1,NA,NA,NA,1---,1,52,0,0,1,1,male,0,Class 7,0,0,1,0,0,1,0,0,0,1,"0-2,499",1,0,0
24,2,NA,NA,NA,2---,1,31,0,1,0,0,female,1,Class 11,0,0,1,0,0,1,0,0,0,0,"20,000-29,999",0,0,1
25,1,NA,NA,NA,1---,1,25,1,0,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"30,000-39,999",0,0,1
26,1,NA,NA,NA,1---,0,75,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
27,1,NA,NA,NA,1---,1,55,0,0,1,1,female,1,Class 8,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
28,1,NA,NA,NA,1---,1,53,0,0,1,1,male,0,Class 9,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
29,2,NA,NA,NA,2---,0,42,0,1,0,1,male,0,Class 7,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
30,1,NA,NA,NA,1---,1,65,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
31,1,NA,NA,NA,1---,1,31,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
32,1,NA,NA,NA,1---,0,40,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
33,1,NA,NA,NA,1---,1,72,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
34,1,NA,NA,NA,1---,0,28,0,1,0,0,female,1,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"20,000-29,999",0,0,1
35,1,NA,NA,NA,1---,1,55,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
36,1,NA,NA,NA,1---,0,32,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
37,1,NA,NA,NA,1---,1,45,0,1,0,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
