unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
1822,1,6,7,5,3,2,4,1675324,0,sacramento,2,1,4,3,0
1823,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,NA,NA,NA,NA,NA
1824,7,6,5,3,4,2,1,7653421,1,sacramento,2,1,3,2,0
1825,NA,NA,NA,NA,NA,NA,NA,-------,1,los angeles,NA,NA,NA,NA,NA
1826,1,7,6,2,5,3,4,1762534,1,orange,1,1,NA,3,0
1827,6,7,5,2,4,1,3,6752413,0,los angeles,2,3,5,3,0
1828,7,6,5,3,4,1,2,7653412,1,los angeles,NA,NA,NA,NA,NA
1829,7,6,5,3,4,2,1,7653421,0,sacramento,4,1,NA,3,0
1830,1,2,6,7,3,5,4,1267354,0,orange,2,2,1,3,1
1831,1,2,3,7,5,4,6,1237546,0,sacramento,4,1,NA,3,0
1832,7,6,5,3,4,2,1,7653421,0,sacramento,NA,NA,NA,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,NA,NA,NA,NA,NA
1834,3,2,1,4,5,6,7,3214567,0,orange,1,1,4,3,0
1835,3,4,5,2,7,1,6,3452716,1,los angeles,1,4,6,3,0
1836,1,7,6,4,5,3,2,1764532,0,riverside,2,1,2,4,0
1837,7,6,3,5,1,4,2,7635142,0,sacramento,1,1,6,4,0
1838,7,6,3,2,1,5,4,7632154,1,sacramento,2,3,3,3,0
1839,1,7,6,5,4,3,2,1765432,1,los angeles,2,3,2,4,0
1840,6,7,5,3,2,4,1,6753241,1,orange,1,3,4,3,1
1841,1,7,6,4,5,3,2,1764532,0,riverside,2,1,1,5,0
1842,1,2,6,3,5,4,7,1263547,1,sacramento,1,2,5,5,0
1843,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,3,4,NA,4,0
1844,1,7,6,4,5,2,3,1764523,0,sacramento,4,2,NA,4,0
1845,7,6,5,1,4,3,2,7651432,1,orange,2,1,4,5,1
1846,6,7,5,3,4,2,1,6753421,0,riverside,2,1,4,2,0
1847,6,7,5,4,3,1,2,6754312,0,orange,1,1,7,4,0
1848,7,6,5,3,4,2,1,7653421,1,sacramento,2,1,NA,3,0
1849,NA,NA,NA,NA,NA,NA,NA,-------,0,sacramento,NA,NA,NA,NA,NA
1850,1,7,6,4,5,3,2,1764532,1,orange,4,3,4,3,0
1851,6,7,5,4,3,2,1,6754321,0,los angeles,1,1,4,4,0
