unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohfz,caza,q5,q7,q8,q10,q11,q12,q13,q15,q16a,q16b,q19b,q21,q22,q23,q24a,q24b,q24c,q24d,q25,q26,q27a,q27c,q27d,q27e,q44a,q44b,q44c,q44d,q45a,q45b,q45c,q45d,q46a,q46b,q46c,q46d,q47a,q47b,q47c,q47d,q48z,q49z,q50z,q51z
912,NA,NA,NA,NA,NA,NA,------,0,5,501,0,29,6,3,2,3,1,5,4,2013,1,1,1,1,1,1,1,3,2,4,2,3,2,2,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
913,NA,1,NA,NA,NA,2,-1---2,1,5,501,0,51,1,4,3,6,1,1,10,2012,1,1,5,1,4,4,4,4,4,3,-98,-98,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,NA,NA,NA,NA
914,NA,1,NA,NA,NA,2,-1---2,1,5,501,1,34,8,3,2,3,1,6,7,2012,1,1,1,1,2,2,3,3,3,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,NA,NA,NA,NA
915,NA,1,NA,NA,NA,2,-1---2,1,5,501,1,32,3,2,1,2,1,5,2,2014,1,1,5,2,2,2,2,3,3,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,1,NA,NA,NA,NA
916,NA,1,NA,NA,3,2,-1--32,2,5,501,0,41,4,3,2,2,1,11,4,2012,1,2,1,2,1,1,2,3,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
917,NA,NA,NA,NA,NA,NA,------,0,5,501,0,27,2,2,1,3,1,12,9,2012,1,1,5,2,2,2,3,3,2,2,2,2,2,2,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918,NA,NA,NA,NA,NA,NA,------,0,5,501,0,43,5,2,2,2,1,5,8,2013,1,1,5,3,4,4,4,4,2,4,2,3,2,2,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
919,NA,1,NA,NA,3,2,-1--32,1,5,501,0,46,3,3,2,5,2,1,3,2012,1,1,1,2,1,1,1,3,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,1,NA,NA,NA,NA
920,NA,1,NA,NA,NA,2,-1---2,3,5,501,1,29,5,4,3,3,1,10,2,2013,1,2,1,2,3,3,4,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
921,NA,NA,NA,NA,NA,NA,------,3,5,501,1,32,8,3,2,6,2,7,2,2014,1,5,2,2,1,1,3,3,3,2,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
922,NA,1,NA,NA,NA,2,-1---2,3,5,501,0,38,8,2,2,5,2,7,6,2013,1,5,5,3,1,1,2,3,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
923,NA,1,NA,NA,NA,2,-1---2,2,5,501,0,28,5,5,3,2,1,4,7,2013,1,2,2,1,2,2,2,4,1,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
924,NA,NA,NA,NA,NA,NA,------,1,5,501,0,30,3,3,2,3,1,11,3,2013,1,1,5,1,3,3,3,4,3,3,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,NA,NA,NA,NA
925,NA,2,NA,NA,1,3,-2--13,0,5,501,0,45,8,2,3,5,2,11,7,2013,3,1,2,2,2,2,3,4,1,5,2,3,2,2,1,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,NA,1,NA,NA,NA,2,-1---2,0,5,501,1,48,3,3,2,3,1,1,3,2012,1,1,5,1,3,3,3,3,2,2,2,2,3,1,1,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
927,NA,1,NA,NA,NA,2,-1---2,2,5,501,0,24,8,7,2,5,2,10,11,2012,1,2,1,1,3,3,3,3,2,2,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA
928,NA,1,NA,NA,NA,2,-1---2,2,5,501,1,23,3,5,2,2,1,5,2,2013,1,1,5,1,2,2,4,4,2,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
929,1,NA,2,3,NA,NA,1-23--,3,4,403,1,45,2,4,2,4,3,6,2,2012,1,1,5,3,4,4,4,4,3,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
930,1,NA,2,3,NA,NA,1-23--,1,4,403,0,46,8,4,2,4,3,6,2,2012,1,1,5,3,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,NA,NA,NA,NA
931,1,NA,2,3,NA,NA,1-23--,0,4,403,1,25,5,10,2,3,2,7,12,2011,1,1,5,3,4,4,4,4,3,4,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
932,1,NA,2,3,NA,NA,1-23--,1,4,403,0,25,5,8,3,3,2,7,10,2011,1,1,5,3,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
933,1,NA,2,3,NA,NA,1-23--,1,4,403,0,29,2,4,2,5,2,10,9,2012,1,1,5,3,1,1,4,4,4,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
934,1,NA,2,3,NA,NA,1-23--,3,4,403,1,40,3,4,2,5,2,10,11,2012,1,1,5,3,1,1,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
935,1,NA,2,3,NA,NA,1-23--,0,4,403,1,35,3,8,2,10,3,10,11,2013,1,1,5,4,4,4,4,4,4,1,2,2,2,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
936,1,NA,2,3,NA,NA,1-23--,2,4,403,1,35,1,8,2,8,1,14,3,2012,1,1,5,1,4,4,4,4,3,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
937,1,NA,2,3,NA,NA,1-23--,1,4,403,1,21,2,8,3,7,2,7,9,2012,1,1,5,3,1,1,1,4,3,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
938,1,NA,2,3,NA,NA,1-23--,3,4,403,1,31,2,5,2,5,2,6,4,2013,1,1,5,3,1,1,4,4,4,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
939,1,NA,2,3,NA,NA,1-23--,3,3,302,1,24,2,5,2,5,2,6,1,2012,1,1,5,3,3,3,4,4,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
940,1,NA,2,3,NA,NA,1-23--,1,4,403,0,48,2,7,2,2,1,11,3,2011,1,1,5,5,4,4,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
941,1,NA,2,3,NA,NA,1-23--,1,4,403,0,21,3,8,2,8,2,11,3,2011,1,1,5,3,4,4,4,4,4,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
942,1,NA,2,3,NA,NA,1-23--,0,4,403,0,52,3,7,2,5,2,11,7,2012,1,1,5,5,4,4,4,4,4,1,2,3,2,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
943,1,NA,2,3,NA,NA,1-23--,1,4,403,0,40,2,6,2,6,2,8,2,2012,1,1,5,5,4,4,4,4,3,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
944,1,NA,NA,NA,NA,NA,1-----,3,4,403,0,21,2,2,3,10,2,11,3,2012,1,1,5,5,4,4,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
945,1,NA,NA,NA,NA,NA,1-----,3,4,403,0,28,3,2,2,10,2,11,3,2012,1,1,5,4,4,4,4,4,1,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
946,1,NA,NA,NA,NA,NA,1-----,1,4,403,1,27,2,8,3,5,1,11,8,2011,1,1,5,4,2,2,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
947,1,NA,2,3,NA,NA,1-23--,1,4,403,1,40,2,10,2,10,2,11,1,2012,1,1,5,5,4,4,4,4,4,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
948,1,NA,2,3,NA,NA,1-23--,0,4,403,1,37,1,7,2,7,1,11,3,2012,1,1,5,1,4,4,4,4,4,1,2,3,2,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
949,1,NA,2,3,NA,NA,1-23--,3,4,403,1,32,2,5,2,5,1,11,3,2014,1,1,5,3,4,4,4,4,2,4,2,1,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
950,1,NA,NA,NA,NA,NA,1-----,0,4,403,0,42,1,6,2,4,2,11,12,2013,1,1,5,1,1,1,4,4,4,1,2,3,-98,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
951,1,NA,NA,NA,NA,NA,1-----,3,4,403,0,21,2,5,2,5,1,11,12,2012,1,1,5,2,1,1,4,4,3,4,2,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
952,2,NA,1,3,NA,NA,2-13--,2,4,403,0,42,2,10,5,4,2,10,6,2012,1,1,5,3,1,1,4,4,3,4,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
953,1,NA,2,3,NA,NA,1-23--,0,4,403,1,33,1,15,4,6,3,11,9,2012,1,1,1,1,1,1,4,4,4,1,-98,-98,-98,-98,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
954,1,NA,2,3,NA,NA,1-23--,2,4,403,1,24,4,2,3,4,3,9,12,2014,1,1,5,3,1,1,4,4,3,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
955,1,NA,2,3,NA,NA,1-23--,1,4,403,1,24,2,3,2,4,1,9,8,2011,1,1,2,2,4,4,4,4,3,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
956,3,NA,1,2,NA,NA,3-12--,3,4,403,1,50,2,9,2,15,3,11,1,2013,1,1,5,3,4,4,4,4,1,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
957,1,NA,NA,NA,NA,NA,1-----,2,6,602,0,60,1,6,2,10,2,6,3,2012,1,1,5,1,2,2,4,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
958,1,NA,2,3,NA,NA,1-23--,3,4,403,0,22,2,5,2,5,1,6,3,2013,1,1,5,3,4,4,4,4,2,2,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
959,1,NA,2,3,NA,NA,1-23--,2,4,403,0,60,1,4,2,3,1,6,11,2013,1,1,5,1,4,4,4,4,4,1,2,1,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
960,1,NA,2,3,NA,NA,1-23--,2,4,403,0,21,3,6,4,5,1,6,8,2012,1,1,5,4,4,4,4,4,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
961,1,NA,2,3,NA,NA,1-23--,2,4,403,0,30,3,5,3,4,1,6,5,2013,1,1,5,3,2,2,2,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
962,NA,NA,NA,NA,NA,NA,------,2,4,403,0,38,2,6,3,4,1,13,12,2014,1,1,1,1,4,4,4,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
963,1,NA,2,NA,NA,NA,1-2---,1,4,403,0,26,8,6,2,5,2,6,7,2013,1,1,5,2,4,4,4,4,3,4,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
964,1,NA,2,3,NA,NA,1-23--,2,4,403,0,28,2,8,4,5,2,6,6,2013,1,1,5,2,1,1,3,4,3,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
965,1,NA,2,3,NA,NA,1-23--,1,4,403,0,21,3,7,3,4,2,6,7,2013,1,1,1,2,1,1,4,4,4,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
966,1,NA,NA,NA,NA,NA,1-----,2,4,403,0,33,2,6,2,7,1,6,2,2013,1,1,5,3,3,3,4,4,4,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
967,1,NA,NA,NA,NA,NA,1-----,3,4,403,0,44,3,8,2,5,1,11,11,2012,1,1,5,3,4,4,4,4,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
968,1,NA,2,3,NA,NA,1-23--,1,4,403,0,29,2,5,2,7,2,6,3,2013,1,1,5,3,3,3,4,4,4,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
969,1,NA,2,3,NA,NA,1-23--,3,4,403,0,43,2,8,3,8,2,7,11,2012,1,1,5,1,4,4,4,4,4,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
970,1,NA,2,3,NA,NA,1-23--,3,4,403,0,37,2,8,3,8,2,7,11,2012,1,1,5,3,1,1,4,4,2,4,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
971,1,NA,NA,NA,NA,NA,1-----,3,4,403,0,49,2,5,2,5,2,6,3,2012,1,1,5,3,3,3,3,4,4,1,2,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
972,1,NA,2,3,NA,NA,1-23--,3,4,403,0,37,1,7,2,7,1,6,3,2011,1,1,5,1,3,4,4,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
973,1,NA,2,3,NA,NA,1-23--,2,4,403,0,24,3,6,2,6,1,6,1,2012,1,1,5,3,1,1,4,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
974,1,NA,2,3,NA,NA,1-23--,1,4,403,0,35,2,5,2,6,1,6,1,2012,1,1,1,1,4,4,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,NA,NA,NA,NA
975,1,NA,2,3,NA,NA,1-23--,1,4,403,0,37,2,15,4,7,2,6,6,2011,1,1,5,4,2,2,3,4,4,1,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA
976,2,NA,1,3,NA,NA,2-13--,0,4,403,0,27,2,5,2,6,2,6,5,2013,1,1,5,2,1,1,4,4,2,4,2,3,3,1,1,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
977,1,NA,NA,NA,NA,NA,1-----,0,4,403,1,30,2,15,3,6,1,7,7,2012,1,1,5,1,2,2,4,4,2,2,2,3,2,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,1,NA,2,NA,NA,NA,1-2---,3,4,403,1,35,1,7,2,7,3,6,3,2013,1,1,5,1,4,4,4,4,3,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
979,2,NA,1,3,NA,NA,2-13--,0,4,403,0,47,3,7,2,7,3,6,3,2013,1,1,5,3,1,1,4,4,1,5,2,3,2,2,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980,1,NA,2,3,NA,NA,1-23--,0,4,403,1,22,1,6,2,6,2,7,10,2013,1,1,5,1,3,4,4,4,4,1,2,3,-98,2,1,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,1,NA,2,3,NA,NA,1-23--,0,4,403,1,41,3,7,2,8,1,6,8,2013,1,1,5,3,4,4,4,4,4,1,2,3,1,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982,1,NA,2,3,NA,NA,1-23--,3,4,403,1,35,3,7,2,7,1,6,3,2012,1,1,5,3,4,4,4,4,4,1,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
983,1,NA,2,3,NA,NA,1-23--,0,4,403,1,21,3,6,2,5,1,6,8,2013,1,1,5,5,4,4,4,4,4,1,2,3,2,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,1,NA,2,3,NA,NA,1-23--,3,4,403,1,28,3,4,2,2,1,6,2,2013,1,1,5,5,4,4,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
985,1,NA,2,3,NA,NA,1-23--,1,4,403,0,21,2,8,5,2,2,6,3,2011,1,1,2,1,4,4,4,4,4,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
986,1,NA,NA,NA,NA,NA,1-----,1,4,403,0,50,3,7,3,3,1,7,2,2013,1,1,5,3,1,1,4,4,4,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
987,1,NA,NA,NA,NA,NA,1-----,3,4,403,1,21,3,9,3,6,1,7,3,2011,1,1,5,5,4,4,4,4,3,1,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
988,1,NA,NA,NA,NA,NA,1-----,1,4,403,1,36,3,7,2,8,2,6,6,2013,1,1,5,5,4,4,4,4,4,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
989,1,NA,2,3,NA,NA,1-23--,1,4,403,0,40,1,7,2,8,2,6,8,2014,1,1,5,1,4,4,4,4,4,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
990,1,NA,2,3,NA,NA,1-23--,0,4,403,0,30,3,10,4,2,2,6,2,2012,1,1,5,5,1,1,4,4,3,1,2,3,2,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
991,1,NA,2,3,NA,NA,1-23--,0,4,403,1,24,4,8,5,4,2,6,8,2012,1,1,5,5,4,4,4,4,1,4,2,3,2,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,1,NA,2,NA,NA,NA,1-2---,3,4,403,0,31,3,5,4,5,1,6,3,2013,1,1,5,4,4,4,4,4,1,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
993,1,NA,2,3,NA,NA,1-23--,1,4,403,1,35,3,5,2,4,2,6,8,2013,1,1,5,3,3,3,3,4,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
994,1,NA,2,3,NA,NA,1-23--,2,4,403,1,42,3,4,3,3,2,6,9,2012,1,1,5,5,4,4,4,4,2,2,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
995,1,NA,2,3,NA,NA,1-23--,0,4,403,1,31,3,5,4,5,3,6,7,2012,1,1,5,5,4,4,4,4,3,1,2,1,3,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
996,1,NA,2,3,NA,NA,1-23--,1,4,403,1,21,3,6,4,9,3,6,7,2013,1,1,5,4,4,4,4,4,2,4,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,NA,NA,NA,NA
997,1,NA,2,3,NA,NA,1-23--,2,4,403,1,29,3,12,4,4,2,6,7,2012,1,1,5,4,3,3,3,4,4,1,2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
998,NA,NA,NA,NA,NA,NA,------,1,4,403,0,35,3,5,3,5,2,6,11,2011,1,1,5,3,4,4,4,4,4,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,NA,NA,NA,NA
999,1,NA,NA,NA,NA,NA,1-----,2,4,403,1,29,3,9,5,5,3,8,10,2012,1,1,5,2,2,2,4,4,3,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1000,1,NA,NA,NA,NA,NA,1-----,3,4,403,1,26,3,8,4,5,2,8,8,2012,1,1,5,3,3,3,4,4,4,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1001,NA,NA,NA,NA,NA,NA,------,3,4,403,1,30,3,3,3,3,2,6,4,2014,1,1,5,4,1,1,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1002,NA,NA,NA,NA,NA,NA,------,3,4,403,0,25,4,3,4,3,2,6,4,2013,1,1,2,2,1,1,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1003,1,NA,2,3,NA,NA,1-23--,1,6,601,1,35,1,7,3,6,0,11,7,2013,1,1,5,1,1,1,1,4,4,1,-98,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,1,NA,NA,NA,NA
1004,NA,NA,NA,NA,NA,NA,------,2,6,601,1,49,1,11,3,4,0,11,3,2013,1,1,5,1,-98,-98,-98,4,4,1,-98,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1005,NA,1,NA,NA,NA,NA,-1----,2,6,601,1,22,3,11,4,11,0,11,4,2013,1,1,5,3,1,1,1,4,4,1,2,3,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
1006,NA,1,NA,NA,3,2,-1--32,0,6,601,1,36,2,6,3,8,0,6,7,2012,1,1,5,3,-98,-98,-98,4,2,2,2,3,-98,2,1,0,1,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,1,NA,NA,NA,NA,NA,1-----,0,6,601,1,27,2,8,3,10,0,1,11,2011,1,1,2,2,1,1,1,4,2,2,2,3,-98,2,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,NA,1,NA,NA,NA,NA,-1----,2,6,601,1,43,1,12,3,10,0,10,10,2012,1,1,2,1,1,1,1,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
1009,NA,1,NA,NA,NA,NA,-1----,2,6,601,1,24,2,12,3,10,0,11,2,2013,1,1,5,1,-98,-98,-98,4,4,1,2,1,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1010,NA,1,NA,NA,NA,NA,-1----,2,6,601,1,62,1,10,4,8,0,6,3,2012,1,1,5,1,-98,-98,-98,4,4,1,-98,-98,-98,-98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1011,NA,1,NA,NA,NA,NA,-1----,3,6,601,1,32,1,7,2,8,0,11,7,2012,1,1,5,1,-98,-98,-98,4,2,2,2,3,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
1012,NA,1,NA,NA,3,2,-1--32,1,6,601,1,48,3,4,4,5,2,5,8,2012,1,1,1,1,1,1,1,3,1,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,1,NA,NA,NA,NA
1013,NA,1,NA,NA,3,2,-1--32,1,6,601,1,31,2,4,3,4,1,1,11,2011,1,1,5,3,-98,-98,-98,4,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,1,NA,NA,NA,NA
1014,NA,1,NA,NA,3,2,-1--32,2,6,601,1,50,2,5,2,5,0,11,9,2013,1,1,5,1,1,1,1,4,4,1,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
