unit,freesyrianarmy,syriangovernment,syrianislamistgroups,foreignislamistgroups,kurdishgroups,hizbalah,ranking,treat,mohfz,caza,q5,q7,q8,q10,q11,q12,q13,q15,q16a,q16b,q19b,q21,q22,q23,q24a,q24b,q24c,q24d,q25,q26,q27a,q27c,q27d,q27e,q44a,q44b,q44c,q44d,q45a,q45b,q45c,q45d,q46a,q46b,q46c,q46d,q47a,q47b,q47c,q47d,q48z,q49z,q50z,q51z
473,NA,1,NA,NA,NA,NA,-1----,1,2,203,0,65,2,6,3,8,3,11,3,2012,1,1,5,3,4,4,4,4,4,1,2,-98,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,0,NA,NA,NA,NA
474,NA,1,NA,NA,NA,NA,-1----,3,2,203,1,24,1,2,1,3,1,12,6,2013,1,1,5,1,-98,-98,-98,4,4,1,-98,-98,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
475,NA,NA,NA,NA,NA,NA,------,3,2,203,0,40,2,7,3,6,2,12,12,2012,1,1,5,2,4,4,4,4,4,1,-98,-98,-98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
476,NA,1,NA,NA,3,2,-1--32,1,2,201,0,50,2,6,4,5,1,13,7,2012,1,1,2,2,1,1,1,4,2,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,1,NA,NA,NA,NA
477,1,NA,2,3,NA,NA,1-23--,1,2,203,1,35,4,5,3,5,2,11,4,2013,1,1,1,2,2,2,4,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
478,1,NA,2,NA,NA,NA,1-2---,2,2,203,0,44,2,7,2,7,1,12,2,2013,1,1,5,3,2,2,3,4,3,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
479,NA,1,NA,NA,3,2,-1--32,3,2,203,0,40,4,4,2,4,2,4,1,2014,1,2,5,5,3,3,4,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
480,NA,1,NA,NA,3,2,-1--32,0,2,203,1,52,3,8,3,8,2,4,3,2013,1,1,5,4,1,2,4,4,4,1,2,3,3,2,1,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,1,NA,2,3,NA,NA,1-23--,2,2,203,0,33,4,3,2,3,1,10,7,2014,1,1,5,4,3,3,4,4,4,1,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
482,1,NA,NA,NA,NA,NA,1-----,0,2,203,1,52,2,7,2,7,1,6,12,2013,1,1,5,3,3,4,4,4,3,2,2,3,2,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,1,NA,2,3,NA,NA,1-23--,0,2,203,0,37,2,5,2,5,1,1,9,2014,1,1,1,1,1,1,2,4,4,1,2,3,3,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,NA,1,NA,NA,3,2,-1--32,1,2,203,0,50,2,6,2,6,2,11,9,2013,1,1,5,3,3,3,4,4,4,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
485,NA,1,NA,NA,3,2,-1--32,3,2,203,1,31,2,3,2,3,1,11,3,2014,1,1,5,2,1,1,2,4,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
486,1,NA,2,3,NA,NA,1-23--,2,2,203,1,47,3,5,2,5,2,11,5,2014,1,1,5,2,2,2,4,4,4,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
487,1,NA,2,3,NA,NA,1-23--,2,2,203,1,39,3,4,2,4,2,6,7,2013,1,1,2,2,3,3,3,4,3,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
488,1,NA,2,3,NA,NA,1-23--,2,2,203,1,44,4,5,3,5,2,11,4,2013,1,1,5,1,1,1,2,4,4,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
489,1,NA,2,3,NA,NA,1-23--,0,2,203,1,41,2,7,2,6,1,12,11,2014,1,1,5,1,1,1,1,4,4,1,3,3,1,1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,1,NA,2,3,NA,NA,1-23--,1,2,203,1,33,2,5,2,5,1,1,12,2013,1,1,5,3,2,2,2,4,4,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA
491,1,NA,2,3,NA,NA,1-23--,2,2,203,0,58,2,7,2,7,2,7,2,2014,1,1,5,2,4,4,4,4,4,1,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
492,1,NA,2,3,NA,NA,1-23--,0,2,203,1,37,3,4,2,4,2,11,12,2014,1,1,5,3,4,4,4,4,2,2,2,3,3,1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,1,NA,2,3,NA,NA,1-23--,0,2,203,1,56,2,7,3,5,2,11,2,2013,1,1,5,4,1,1,2,4,4,1,2,3,1,2,1,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,1,NA,2,3,NA,NA,1-23--,0,2,203,0,49,2,6,2,6,1,1,4,2013,1,1,5,3,4,4,4,4,3,1,2,3,2,1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,1,NA,2,3,NA,NA,1-23--,2,2,203,1,34,3,6,2,6,2,7,6,2013,1,1,5,4,1,1,4,4,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
496,1,NA,2,3,NA,NA,1-23--,2,2,203,0,27,2,3,2,3,2,6,5,2014,1,1,5,2,2,2,3,4,4,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
497,1,NA,2,3,NA,NA,1-23--,0,2,203,0,48,2,6,2,4,1,6,3,2013,1,1,5,5,3,4,4,4,2,4,2,3,2,2,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,1,NA,2,3,NA,NA,1-23--,1,2,203,0,38,3,5,3,5,2,5,1,2014,1,1,2,2,2,2,4,4,3,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,NA,NA,NA,NA
499,1,NA,2,3,NA,NA,1-23--,2,2,203,1,54,2,7,2,6,2,1,10,2013,1,1,5,4,4,4,4,4,4,1,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
500,NA,1,NA,NA,2,3,-1--23,1,2,201,0,62,2,7,5,5,2,14,1,2013,3,1,2,2,1,1,3,4,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,1,0,NA,NA,NA,NA
501,NA,1,NA,NA,NA,NA,-1----,3,3,302,0,35,3,5,3,3,1,5,11,2012,1,1,1,2,1,1,1,3,2,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
502,NA,NA,NA,NA,NA,NA,------,2,3,302,1,32,2,7,2,2,1,11,9,2012,1,1,5,1,1,1,1,4,4,1,2,2,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA
503,NA,1,NA,NA,NA,2,-1---2,1,3,302,0,37,1,3,1,3,1,1,7,2012,1,1,1,1,1,1,3,4,3,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
504,NA,1,NA,NA,NA,2,-1---2,1,3,302,0,29,2,9,3,3,1,12,8,2014,1,1,5,1,2,2,3,4,3,1,2,3,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
505,NA,NA,NA,NA,NA,NA,------,3,3,302,0,25,3,5,3,5,1,12,9,2014,1,1,5,1,2,2,3,3,2,4,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
506,NA,1,NA,NA,NA,2,-1---2,0,3,302,1,37,2,3,2,5,2,6,6,2013,1,2,5,3,1,1,3,3,4,1,2,2,-98,2,1,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,NA,1,NA,NA,NA,NA,-1----,2,3,302,0,42,5,3,2,3,1,6,4,2013,1,1,5,3,4,4,4,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
508,NA,1,NA,NA,NA,2,-1---2,1,3,302,0,52,4,2,2,4,2,5,11,2012,1,1,2,2,1,1,2,3,1,5,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,1,0,NA,NA,NA,NA
509,NA,1,NA,NA,NA,2,-1---2,3,3,302,0,22,3,3,3,3,1,4,5,2013,1,2,2,1,1,1,1,3,3,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
510,NA,1,NA,NA,3,2,-1--32,2,3,301,0,34,3,3,2,3,1,5,7,2013,1,1,2,1,2,2,3,4,2,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
511,NA,1,NA,NA,NA,2,-1---2,3,3,301,1,37,2,3,2,3,1,1,3,2013,1,1,5,1,1,1,1,4,4,1,2,-98,-98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
