unit,tribe,nationality,religion,gender,ranking,treat,age,female,completed_elementary,completed_hs,catholic,evangelical
458,3,4,1,2,3412,1,50,1,1,0,0,0
459,4,2,1,3,4213,1,23,1,1,1,1,0
460,4,2,1,3,4213,0,29,0,0,0,0,0
461,3,2,1,4,3214,1,28,1,1,1,0,0
462,2,4,1,3,2413,1,37,1,1,1,0,0
463,4,2,3,1,4231,1,39,0,1,1,1,0
464,3,4,1,2,3412,1,58,0,0,0,1,0
465,2,4,3,1,2431,1,39,1,0,0,1,0
466,1,4,3,2,1432,0,62,1,1,0,0,1
467,3,2,1,4,3214,1,55,1,0,0,1,0
468,2,4,1,3,2413,1,24,1,0,0,0,0
469,2,3,1,4,2314,1,46,1,1,0,1,0
470,2,4,1,3,2413,1,32,0,0,0,0,0
471,2,3,1,4,2314,1,48,0,1,0,1,0
472,3,4,1,2,3412,1,45,1,1,0,1,0
473,3,2,1,4,3214,1,64,1,0,0,0,0
474,2,4,3,1,2431,0,28,1,0,0,0,0
475,1,4,2,3,1423,1,33,1,0,0,1,0
476,2,4,1,3,2413,1,84,0,0,0,0,1
477,4,1,3,2,4132,0,46,1,1,0,1,0
478,3,1,4,2,3142,0,22,1,0,0,0,1
479,3,1,2,4,3124,1,78,0,1,0,0,0
480,3,2,1,4,3214,0,59,0,0,0,1,0
481,3,4,1,2,3412,0,18,1,1,1,0,0
482,1,4,3,2,1432,0,56,0,1,0,0,0
483,3,4,1,2,3412,1,43,0,1,1,1,0
484,4,1,3,2,4132,1,24,1,1,0,1,0
485,1,3,4,2,1342,1,38,1,1,0,1,0
486,3,4,1,2,3412,1,73,0,0,0,0,0
487,2,3,1,4,2314,1,37,1,1,1,1,0
488,3,4,2,1,3421,0,60,1,0,0,1,0
489,1,4,2,3,1423,0,25,1,1,1,0,1
490,3,4,1,2,3412,1,56,0,1,0,0,0
491,3,4,1,2,3412,0,46,0,1,1,1,0
492,2,4,3,1,2431,0,27,1,1,1,1,0
493,3,2,1,4,3214,1,58,0,1,1,1,0
494,4,3,2,1,4321,1,76,0,0,0,1,0
495,4,3,1,2,4312,1,38,1,1,0,0,0
496,3,2,1,4,3214,1,73,0,0,0,1,0
497,3,4,2,1,3421,1,55,1,1,0,1,0
498,3,1,2,4,3124,1,58,1,0,0,1,0
499,1,2,3,4,1234,0,72,1,0,0,1,0
500,4,1,2,3,4123,1,20,0,1,0,0,1
501,3,4,1,2,3412,0,56,1,0,0,1,0
502,3,2,1,4,3214,0,67,0,1,0,1,0
503,2,4,1,3,2413,1,50,1,1,1,1,0
504,2,1,3,4,2134,1,53,0,1,0,1,0
505,3,2,1,4,3214,1,70,1,0,0,1,0
506,3,4,1,2,3412,1,41,1,1,1,1,0
507,1,4,3,2,1432,1,36,1,1,0,1,0
508,3,4,1,2,3412,1,36,0,1,1,0,0
509,3,1,2,4,3124,0,31,1,1,1,1,0
510,1,2,4,3,1243,1,54,1,1,0,1,0
511,2,4,1,3,2413,1,37,1,1,1,1,0
512,3,4,1,2,3412,1,47,0,0,0,1,0
513,4,3,1,2,4312,1,21,1,1,1,1,0
514,3,1,4,2,3142,1,48,0,1,1,1,0
515,1,4,3,2,1432,1,28,1,1,0,1,0
516,2,3,1,4,2314,0,54,1,0,0,1,0
517,3,4,1,2,3412,0,58,0,1,0,0,0
518,3,4,1,2,3412,0,39,1,1,0,1,0
519,2,4,1,3,2413,0,46,1,1,1,0,0
520,2,1,4,3,2143,0,31,0,0,0,0,0
521,4,2,1,3,4213,0,26,1,0,0,1,0
522,1,4,2,3,1423,1,33,1,0,0,1,0
523,4,1,3,2,4132,1,23,1,1,1,0,0
524,1,3,2,4,1324,0,27,0,0,0,0,0
525,2,4,1,3,2413,1,43,1,0,0,0,0
526,4,1,2,3,4123,1,41,1,0,0,0,0
527,2,3,4,1,2341,1,32,1,1,1,0,0
528,2,1,4,3,2143,1,32,1,1,1,1,0
529,3,1,2,4,3124,1,37,1,1,0,0,0
530,1,3,2,4,1324,0,26,0,0,0,0,0
531,2,4,1,3,2413,1,28,1,0,0,0,0
532,2,3,4,1,2341,1,31,1,0,0,0,0
533,3,4,1,2,3412,0,34,1,1,0,0,0
534,2,3,1,4,2314,1,49,1,0,0,0,0
535,4,3,1,2,4312,1,46,1,0,0,0,0
536,4,3,1,2,4312,1,74,1,0,0,0,0
537,1,3,4,2,1342,1,18,1,1,0,0,0
538,3,1,2,4,3124,1,25,1,0,0,0,0
539,3,2,4,1,3241,1,38,0,0,0,0,0
540,1,3,2,4,1324,1,47,0,0,0,0,0
541,3,2,1,4,3214,1,44,1,1,1,0,0
542,2,3,1,4,2314,1,29,1,1,0,0,1
543,3,1,2,4,3124,1,25,1,0,0,0,0
544,3,2,1,4,3214,1,49,0,0,0,0,0
545,4,1,2,3,4123,0,26,1,1,0,0,0
546,3,2,1,4,3214,0,36,1,0,0,0,0
547,2,1,4,3,2143,0,44,1,1,0,1,0
548,1,3,2,4,1324,1,46,0,0,0,0,1
549,3,1,2,4,3124,1,74,0,0,0,0,0
550,1,2,4,3,1243,1,30,0,0,0,0,1
551,1,2,4,3,1243,0,46,1,0,0,0,1
552,3,2,1,4,3214,1,47,1,0,0,0,0
553,3,1,2,4,3124,0,42,0,1,0,0,1
554,2,3,1,4,2314,1,46,1,1,1,0,0
555,3,1,2,4,3124,1,75,0,1,0,0,0
