unit,id,treat,ch_civil,ch_uncivil,ch_intolerant,ch_threatening,treatment,uncivil,intolerant,threatening,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
182,182,1,4,1,2,3,control,100,80,60,Independent,uncivil,Male,Born 1991 or later,Hispanic,High school graduate,Every day  ,84,86,Independent
183,183,0,1,2,3,4,non-group-related control,0,0,0,Independent,civil,Male,Born 1991 or later,White,College,Every day  ,0,0,Independent
184,184,1,4,2,1,3,control,70,55,35,Republican,intolerant,Male,Born 1991 or later,White,High school graduate,Every day  ,0,50,Republican
185,185,0,1,3,2,4,non-group-related control,0,28,0,Democrat,civil,Female,Born 1991 or later,White,College,Every day  ,0,0,Democrat
186,186,1,4,1,2,3,control,65,63,38,Independent,uncivil,Male,Born 1975-1990,White,High school graduate,Every day  ,30,33,Independent
187,187,0,1,3,2,4,non-group-related control,0,18,0,Democrat,civil,Female,Born 1991 or later,Hispanic,College,Every day  ,0,0,Democrat
188,188,1,4,2,1,3,control,51,60,51,Independent,intolerant,Male,Born 1975-1990,Race other/multiple,Professional degree,Every day  ,37,30,Independent
189,189,0,1,3,2,4,non-group-related control,0,0,0,Democrat,civil,Female,Born 1959-1974,White,Professional degree,Every day  ,0,0,Strong Democrat
190,190,1,4,2,1,3,control,75,90,37,Democrat,intolerant,Female,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day  ,60,81,Strong Democrat
191,191,0,4,3,1,2,non-group-related control,12,22,18,Democrat,intolerant,Female,Born 1959-1974,White,Postgraduate (e.g. Masters),At least once a week but not every day  ,72,37,Democrat
192,192,1,1,4,3,2,control,20,37,50,Republican,civil,Male,Born 1959-1974,Race other/multiple,Postgraduate (e.g. Masters),Every day  ,60,51,Leaning Republican
193,193,0,1,3,2,4,non-group-related control,15,15,0,Democrat,civil,Female,Born 1975-1990,Black,College,Every day  ,0,20,Democrat
194,194,1,4,3,1,2,control,100,55,84,Independent,intolerant,Female,Born 1991 or later,Hispanic,College,Every day  ,58,100,Independent
195,195,0,1,3,2,4,non-group-related control,8,25,0,Democrat,civil,Female,Born 1975-1990,Hispanic,College,Every day  ,0,0,Strong Democrat
196,196,1,4,2,1,3,control,70,91,27,Democrat,intolerant,Female,Born 1991 or later,White,College,Every day  ,52,62,Leaning Democrat
