unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
243,2,NA,NA,NA,2---,0,22,1,0,0,0,male,0,Class 6,0,0,1,0,0,0,1,0,0,1,"15,000-19,999",0,0,1
244,1,NA,NA,NA,1---,0,18,1,0,0,0,female,1,No formal education,0,1,0,0,0,0,1,0,0,0,"2500-4,999",1,0,0
245,1,NA,NA,NA,1---,1,27,1,0,0,0,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"15,000-19,999",0,0,1
246,1,NA,NA,NA,1---,0,24,1,0,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
247,1,NA,NA,NA,1---,0,27,1,0,0,0,male,0,Class 7,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
248,1,NA,NA,NA,1---,1,25,1,0,0,0,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"5,000-9,999",0,1,0
249,1,NA,NA,NA,1---,0,26,1,0,0,0,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"0-2,499",1,0,0
250,1,NA,NA,NA,1---,0,40,0,1,0,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
251,1,NA,NA,NA,1---,0,43,0,1,0,1,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
252,1,NA,NA,NA,1---,0,54,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
253,1,NA,NA,NA,1---,0,26,1,0,0,0,female,1,Some college,1,0,0,1,0,1,0,0,0,0,"2500-4,999",1,0,0
254,1,NA,NA,NA,1---,1,34,0,1,0,0,female,1,Class 7,0,0,1,0,0,1,0,0,0,0,"0-2,499",1,0,0
255,1,NA,NA,NA,1---,1,55,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"20,000-29,999",0,0,1
256,1,NA,NA,NA,1---,0,45,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"30,000-39,999",0,0,1
257,2,NA,NA,NA,2---,0,50,0,0,1,1,male,0,Some college,1,0,0,1,0,1,0,0,0,0,"20,000-29,999",0,0,1
258,1,NA,NA,NA,1---,1,33,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
259,1,NA,NA,NA,1---,0,49,0,1,0,1,female,1,Class 7,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
260,1,NA,NA,NA,1---,0,55,0,0,1,1,male,0,Class 12,1,0,0,1,0,1,0,0,0,1,"5,000-9,999",0,1,0
261,1,NA,NA,NA,1---,0,44,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
262,1,NA,NA,NA,1---,1,28,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
263,1,NA,NA,NA,1---,0,33,0,1,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
264,1,NA,NA,NA,1---,1,67,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
265,2,NA,NA,NA,2---,0,34,0,1,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"30,000-39,999",0,0,1
266,1,NA,NA,NA,1---,1,64,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
267,1,NA,NA,NA,1---,0,70,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
268,1,NA,NA,NA,1---,1,65,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
269,1,NA,NA,NA,1---,1,44,0,1,0,1,female,1,Class 9,0,0,1,0,0,1,0,0,0,0,"More than 1,00,000",0,0,1
270,1,NA,NA,NA,1---,1,51,0,0,1,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"15,000-19,999",0,0,1
271,1,NA,NA,NA,1---,0,34,0,1,0,0,female,1,Class 5,0,0,0,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
272,3,NA,NA,NA,3---,0,65,0,0,1,1,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"2500-4,999",1,0,0
273,1,NA,NA,NA,1---,0,48,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
274,1,NA,NA,NA,1---,0,65,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
275,1,NA,NA,NA,1---,0,38,0,1,0,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
276,1,NA,NA,NA,1---,1,26,1,0,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"20,000-29,999",0,0,1
277,1,NA,NA,NA,1---,1,19,1,0,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
278,1,NA,NA,NA,1---,1,47,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
279,1,NA,NA,NA,1---,0,75,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
280,2,NA,NA,NA,2---,0,75,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
281,2,NA,NA,NA,2---,0,30,0,1,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,NA,0,0,1
282,1,NA,NA,NA,1---,1,33,0,1,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
283,2,NA,NA,NA,2---,1,30,0,1,0,0,male,0,Class 9,0,0,1,0,0,1,0,0,0,1,"10,000-14,999",0,1,0
284,2,NA,NA,NA,2---,1,45,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
285,1,NA,NA,NA,1---,1,31,0,1,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"10,000-14,999",0,1,0
286,1,NA,NA,NA,1---,0,85,0,0,1,1,male,0,Class 5,0,0,0,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
287,1,NA,NA,NA,1---,0,60,0,0,1,1,male,0,Class 7,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
288,1,NA,NA,NA,1---,0,50,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
289,2,NA,NA,NA,2---,0,27,1,0,0,0,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
290,2,NA,NA,NA,2---,1,42,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
291,1,NA,NA,NA,1---,0,41,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
292,1,NA,NA,NA,1---,1,21,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"40,000-49,999",0,0,1
293,2,NA,NA,NA,2---,1,63,0,0,1,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
294,2,NA,NA,NA,2---,1,30,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
295,1,NA,NA,NA,1---,0,18,1,0,0,0,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
296,1,NA,NA,NA,1---,0,27,1,0,0,0,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"70,000-79,999",0,0,1
297,1,NA,NA,NA,1---,1,65,0,0,1,1,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,1,"10,000-14,999",0,1,0
298,1,NA,NA,NA,1---,1,48,0,1,0,1,male,0,Class 5,0,0,0,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
299,1,NA,NA,NA,1---,1,37,0,1,0,1,male,0,Class 11,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
300,2,NA,NA,NA,2---,0,37,0,1,0,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
301,2,NA,NA,NA,2---,0,42,0,1,0,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"0-2,499",1,0,0
302,1,NA,NA,NA,1---,0,30,0,1,0,0,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"15,000-19,999",0,0,1
303,1,NA,NA,NA,1---,1,27,1,0,0,0,female,1,Class 8,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
304,1,NA,NA,NA,1---,1,28,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
305,2,NA,NA,NA,2---,1,26,1,0,0,0,female,1,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"5,000-9,999",0,1,0
306,1,NA,NA,NA,1---,1,22,1,0,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"10,000-14,999",0,1,0
307,1,NA,NA,NA,1---,0,27,1,0,0,0,male,0,Class 11,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
308,1,NA,NA,NA,1---,0,30,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
309,2,NA,NA,NA,2---,1,44,0,1,0,1,male,0,Class 8,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
310,1,NA,NA,NA,1---,1,50,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
311,1,NA,NA,NA,1---,0,90,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
312,1,NA,NA,NA,1---,0,46,0,1,0,1,female,1,Class 8,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
313,1,NA,NA,NA,1---,0,90,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
